id,path
empty,assets/item/00002.png
horn,assets/item/00262.png
monster,assets/boss/00101.png
ore,assets/item/00287.png
paperdoll,assets/show/00040.png
portrait,assets/client/portrait-warrior.png
reward,assets/item/01193.png
rune,assets/item/01191.png
slot-0,assets/item/00031.png
slot-1,assets/item/00061.png
slot-2,assets/item/00101.png
slot-3,assets/item/00223.png
slot-4,assets/item/00181.png
slot-5,assets/item/00146.png
slot-6,assets/item/00146.png
slot-7,assets/item/00551.png
slot-8,assets/item/00551.png
slot-9,assets/item/00561.png
sword,assets/item/00031.png
element-formation,assets/item/02641.png
