id,name,score_weight,upgrade_pct,skill_flat,training_flat,collection_flat,rebirth_flat,rebirth_pct,title_pct
hp,生命,20,5,0,0,0,100,0,0
mp,法力,10,5,0,0,0,0,0,0
attack_min,攻击下限,250,5,2,3,1,0,10,2
attack_max,攻击上限,250,5,2,3,1,0,10,2
magic_min,魔法下限,250,5,2,3,1,0,10,2
magic_max,魔法上限,250,5,2,3,1,0,10,2
tao_min,道术下限,250,5,2,3,1,0,10,2
tao_max,道术上限,250,5,2,3,1,0,10,2
defense_min,防御下限,150,5,0,2,0,5,0,0
defense_max,防御上限,150,5,0,2,0,5,0,0
magic_defense_min,魔防下限,150,5,2,3,1,5,10,2
magic_defense_max,魔防上限,150,5,2,3,1,5,10,2
