id,value
inner_tp_per_kill,1
inner_tp_cap,1000000
initial_gold,500
initial_gems,60
initial_iron,20
initial_potions,20
initial_capacity,36
max_capacity,120
storage_capacity,48
max_floor,6000
max_rebirth,10
offline_seconds,86400
boss_tries,5
arena_tries,5
world_tries,2
escort_tries,3
wave_count,3
guardian_hp_pct,200
guardian_attack_pct,130
drop_chance,35
iron_chance,40
potion_chance,8
critical_chance,12
critical_damage_pct,170
mp_regen,3
potion_trigger_pct,40
potion_heal_pct,50
recovery_seconds,5
round_limit,120
equipment_coefficient_max,10
recycle_gold,15
treasure_yuan,15
treasure_pity,10
daily_gold,300
daily_yuan,30
daily_potions,10
bounty_kills,30
bounty_gold,500
bounty_runes,2
first_clear_yuan,2
between_wave_heal_pct,12
escort_gold,100
escort_seconds,60
escort_reward,400
escort_level_gold,20
escort_guild_gold,10
escort_merit,30
arena_power_base,200
arena_power_win,180
arena_power_rival,300
arena_win_merit,100
arena_lose_merit,20
arena_win_gold,200
element_pool_cap,86400
element_xp_per_second,1
secret_wave_count,3
secret_mob_hp_pct,40
