id,name,min_level,rebirth,hp,picture,gold,xp,xp_floor,iron,yuan,runes,quality,drop_pool,mp,attack_min,attack_max,magic_min,magic_max,tao_min,tao_max,defense_min,defense_max,magic_defense_min,magic_defense_max,attack_school
1,沃玛教主,25,0,1000,4,500,150,25,15,15,1,2,1,300,7,27,0,8,8,55,3,18,1,8,tao
2,祖玛教主,35,0,1500,11,750,150,25,15,15,1,2,1,800,12,58,0,0,19,77,9,24,3,28,tao
3,赤月恶魔,45,0,2000,25,1000,150,25,15,15,1,2,1,1000,5,152,0,0,0,0,13,30,15,30,attack
4,魔龙教主,70,0,3000,23,1250,150,25,15,15,1,2,1,1500,5,75,10,175,0,0,21,45,19,49,magic
5,牛魔王,80,1,5000,12,1500,150,25,15,15,1,2,1,3000,12,198,0,0,0,0,45,92,67,88,attack
6,一转守护神,60,0,2000,26,1750,150,25,15,15,1,2,1,1000,7,30,7,33,0,0,8,20,11,20,magic
7,二转守护神,80,1,3500,24,2000,150,25,15,15,1,2,1,1500,30,150,28,205,0,0,38,75,30,82,magic
8,三转守护神,100,2,5000,21,2250,150,25,15,15,1,2,1,3000,50,100,0,0,48,289,52,108,41,115,tao
9,四转守护神,120,3,7000,14,2500,150,25,15,15,1,2,1,6000,100,200,0,0,80,402,98,177,111,145,tao
10,五转守护神,140,4,10000,35,2750,150,25,15,15,1,2,1,7500,120,655,0,0,0,0,130,208,145,198,attack
11,六转守护神,160,5,12000,32,3000,150,25,15,15,1,2,1,10000,220,808,0,0,0,0,208,355,221,329,attack
12,七转守护神,180,6,15000,28,3250,150,25,15,15,1,2,1,12000,380,1055,0,0,0,0,309,421,288,453,attack
13,八转守护神,200,7,17500,27,3500,150,25,15,15,1,2,1,14000,100,200,424,1175,0,0,391,461,358,482,magic
14,九转守护神,220,8,20000,34,3750,150,25,15,15,1,2,1,16000,100,200,480,1257,0,0,452,524,439,576,magic
15,龙神1★,100,10,30000,11,4000,150,25,15,15,1,2,1,20000,500,5000,0,0,0,0,150,1000,150,1000,attack
16,龙神2★,150,10,40000,9,4250,150,25,15,15,1,2,1,30000,600,7500,0,0,0,0,200,1200,200,1200,attack
17,龙神3★,200,10,50000,12,4500,150,25,15,15,1,2,1,40000,0,0,700,10000,0,0,300,1500,300,1500,magic
18,龙神4★,250,10,60000,23,4750,150,25,15,15,1,2,1,50000,0,0,1000,13000,0,0,350,1700,350,1700,magic
19,龙神5★,300,10,70000,26,5000,150,25,15,15,1,2,1,60000,0,0,0,0,1000,15000,400,1900,400,1900,tao
20,龙神6★,350,10,80000,32,5250,150,25,15,15,1,2,1,70000,1100,17500,0,0,0,0,500,1200,2000,5000,attack
21,龙神7★,400,10,90000,41,5500,150,25,15,15,1,2,1,80000,1200,20000,0,0,0,0,2500,5000,600,1300,attack
22,龙神8★,450,10,100000,39,5750,150,25,15,15,1,2,1,90000,0,0,1500,25000,0,0,100,1000,3000,8000,magic
23,龙神9★,500,10,150000,38,6000,150,25,15,15,1,2,1,100000,0,0,2000,30000,0,0,1000,2500,1000,2500,magic
24,渡劫之王(一),500,10,100000,21,6250,150,25,15,15,1,2,1,100000,2500,25000,0,0,0,0,2000,3000,1000,2000,attack
25,渡劫之王(二),600,10,200000,42,6500,150,25,15,15,1,2,1,200000,0,0,3000,30000,0,0,1000,2000,2000,4000,magic
26,渡劫之王(三),700,10,300000,34,6750,150,25,15,15,1,2,1,300000,0,0,0,0,3500,35000,2000,4500,2000,4500,tao
27,渡劫之王(四),800,10,400000,28,7000,150,25,15,15,1,2,1,400000,4000,40000,0,0,0,0,2500,5000,2500,5000,attack
28,渡劫之王(五),900,10,500000,35,7250,150,25,15,15,1,2,1,500000,5000,50000,0,0,0,0,3000,6000,3000,6000,attack
