id,pool,item_id,weight
1,1,16,1
2,1,14,1
3,1,15,1
4,1,18,1
5,1,31,1
6,1,42,1
7,1,43,1
8,1,40,1
9,1,70,1
10,1,71,1
11,1,44,1
12,2,19,1
13,2,20,1
14,2,17,1
15,2,41,1
16,2,47,1
17,2,48,1
18,2,50,1
19,2,56,1
20,2,58,1
21,2,59,1
22,2,65,1
23,2,72,1
24,2,73,1
25,2,23,1
26,3,34,1
27,3,46,1
28,3,55,1
29,3,62,1
30,3,65,1
31,3,67,1
32,3,54,1
33,3,24,1
34,3,19,1
35,3,20,1
36,3,51,1
37,3,52,1
38,3,53,1
39,3,49,1
40,4,164,1
41,4,165,1
42,4,61,1
43,4,60,1
44,4,68,1
45,4,69,1
46,4,76,1
47,4,80,1
48,4,81,1
49,4,84,1
50,4,91,1
51,4,97,1
52,4,98,1
53,4,39,1
54,5,25,1
55,5,26,1
56,5,28,1
57,5,27,1
58,5,29,1
59,5,30,1
60,5,35,1
61,5,63,1
62,5,64,1
63,5,78,1
64,5,79,1
65,5,82,1
66,5,85,1
67,5,89,1
68,5,92,1
69,5,93,1
70,6,66,1
71,6,21,1
72,6,87,1
73,6,90,1
74,6,93,1
75,6,25,1
76,6,26,1
77,6,27,1
78,6,28,1
79,6,29,1
80,6,30,1
81,6,89,1
82,6,92,1
83,7,86,1
84,7,83,1
85,7,129,1
86,7,131,1
87,7,145,1
88,7,146,1
89,7,142,1
90,7,88,1
91,7,102,1
92,7,45,1
93,7,33,1
94,7,36,1
95,8,158,1
96,8,159,1
97,8,160,1
98,8,161,1
99,8,162,1
100,8,163,1
101,9,95,1
102,9,96,1
103,9,99,1
104,9,100,1
105,9,103,1
106,9,130,1
107,9,132,1
108,9,140,1
109,9,141,1
110,9,143,1
111,9,144,1
112,10,152,1
113,10,153,1
114,10,154,1
115,10,155,1
116,10,156,1
117,10,157,1
118,11,166,1
119,11,167,1
120,11,168,1
121,11,169,1
122,11,170,1
123,11,171,1
124,11,172,1
125,11,173,1
126,11,174,1
127,11,175,1
128,11,176,1
129,11,177,1
130,12,183,1
131,12,184,1
132,12,185,1
133,12,186,1
134,12,187,1
135,12,188,1
136,13,257,1
137,13,258,1
138,13,259,1
139,13,262,1
140,13,263,1
141,13,264,1
142,13,267,1
143,13,268,1
144,13,269,1
145,14,248,1
146,14,249,1
147,14,250,1
148,14,251,1
149,14,252,1
150,14,253,1
151,14,254,1
152,14,255,1
153,14,256,1
154,15,278,1
155,15,279,1
156,15,248,1
157,15,251,1
158,15,254,1
159,16,357,1
160,16,358,1
161,16,359,1
162,16,360,1
163,17,272,1
164,17,273,1
165,17,274,1
166,17,275,1
167,17,276,1
168,17,277,1
169,18,367,1
170,18,368,1
171,18,369,1
172,18,370,1
173,18,373,1
174,18,374,1
175,18,375,1
176,18,376,1
177,18,379,1
178,18,380,1
179,18,381,1
180,18,382,1
181,19,385,1
182,19,386,1
183,19,387,1
184,19,390,1
185,20,391,1
186,20,392,1
187,20,393,1
188,20,394,1
189,20,395,1
190,20,396,1
191,21,422,1
192,21,423,1
193,21,424,1
194,21,425,1
195,21,429,1
196,21,430,1
197,22,431,1
198,22,432,1
199,22,433,1
200,22,434,1
201,22,438,1
202,22,439,1
203,23,450,1
204,23,451,1
205,23,452,1
206,23,453,1
207,23,457,1
208,23,458,1
209,24,459,1
210,24,460,1
211,24,461,1
212,24,462,1
213,24,466,1
214,24,467,1
215,25,16,1
216,26,16,1
217,27,16,1
218,28,16,1
219,29,16,1
220,30,16,1
221,31,16,1
222,32,16,1
223,33,16,1
224,34,16,1
225,35,16,1
