id,name,slot,min_level,picture,category,hp,mp,attack_min,attack_max,magic_min,magic_max,tao_min,tao_max,defense_min,defense_max,magic_defense_min,magic_defense_max,required_job,required_rebirth,weight,sell_price,stack_limit,description
1,金币,-1,1,116,其他,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,100,1,-
2,元宝,-1,1,1121,其他,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1000,1,-
3,经验,-1,1,1187,其他,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,-
4,声望,-1,1,1186,其他,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,-
5,战功,-1,1,1137,其他,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,-
6,累冲,-1,1,861,其他,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,-
7,红包,-1,1,1019,其他,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,-
8,积分,-1,1,1134,其他,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,-
9,储备经验,-1,1,1689,其他,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,-
10,推广币,-1,1,1336,其他,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,-
11,肉,-1,1,2,道具,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,3,150,99999,-
12,干肉,-1,1,6,道具,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,200,99999,-
13,鸡肉,-1,1,14,道具,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,100,99999,-
14,布衣(男),1,1,61,装备,0,0,0,0,0,0,0,0,0,2,0,1,-1,0,5,400,1,-
15,布衣(女),1,1,81,装备,0,0,0,0,0,0,0,0,0,2,0,1,-1,0,5,400,1,-
16,木剑,0,1,31,装备,0,0,2,5,0,0,0,0,0,0,0,0,-1,0,7,50,1,-
17,铁剑,0,10,37,装备,0,0,5,9,0,0,0,0,0,0,0,0,-1,0,10,1000,1,-
18,青铜剑,0,5,32,装备,0,0,3,7,0,0,0,0,0,0,0,0,-1,0,9,900,1,-
19,轻型盔甲(男),1,11,62,装备,0,0,0,0,0,0,0,0,3,3,1,2,-1,0,8,3000,1,-
20,轻型盔甲(女),1,11,82,装备,0,0,0,0,0,0,0,0,3,3,1,2,-1,0,8,3000,1,-
21,凝霜,0,25,46,装备,0,0,10,13,0,0,0,0,0,0,0,0,-1,0,20,8000,1,-
22,蜡烛,-1,1,131,装备,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,10,1,-
23,短剑,0,10,34,装备,0,0,3,11,0,0,0,0,0,0,0,0,-1,0,9,1000,1,-
24,青铜斧,0,13,33,装备,0,0,0,15,0,0,0,0,0,0,0,0,-1,0,10,1500,1,-
25,重盔甲(女),1,22,83,装备,0,0,0,0,0,0,0,0,4,7,2,3,0,0,23,10000,1,-
26,魔法长袍(女),1,22,84,装备,0,0,0,0,0,2,0,0,3,5,3,4,1,0,12,200,1,-
27,灵魂战衣(女),1,22,85,装备,0,0,0,0,0,0,0,2,3,6,3,3,2,0,15,9091,1,-
28,重盔甲(男),1,22,63,装备,0,0,0,0,0,0,0,0,4,7,2,3,0,0,23,10000,1,-
29,魔法长袍(男),1,22,64,装备,0,0,0,0,0,2,0,0,3,5,3,4,1,0,12,9091,1,-
30,灵魂战衣(男),1,22,65,装备,0,0,0,0,0,0,0,2,3,6,3,3,2,0,15,9091,1,-
31,匕首,0,1,36,装备,0,0,4,5,0,0,0,0,0,0,0,0,-1,0,5,500,1,-
32,井中月,0,28,49,装备,0,0,7,22,0,0,0,0,0,0,0,0,-1,0,58,30000,1,-
33,银蛇,0,26,39,装备,0,0,7,14,0,0,1,3,0,1,0,0,-1,0,26,15000,1,-
34,海魂,0,15,40,装备,0,0,3,10,1,2,0,0,0,0,0,0,-1,0,12,3000,1,-
35,修罗,0,22,41,装备,0,0,0,20,0,0,0,0,0,0,0,0,-1,0,40,10000,1,-
36,炼狱,0,26,42,装备,0,0,0,25,0,0,0,0,0,0,0,0,-1,0,60,20000,1,-
37,凌风,0,19,35,装备,0,0,6,12,0,0,0,0,0,0,0,0,-1,0,20,4545,1,-
38,破魂,0,20,52,装备,0,0,8,10,0,0,0,0,0,2,0,0,-1,0,8,5000,1,-
39,斩马刀,0,20,38,装备,0,0,5,15,0,0,0,0,0,0,0,0,-1,0,27,6000,1,-
40,古铜戒指,6,3,146,装备,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,500,1,-
41,青铜头盔,2,10,101,装备,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,4,909,1,-
42,金项链,3,2,223,装备,0,0,0,1,0,0,0,0,0,0,0,1,-1,0,1,500,1,-
43,铁手镯,4,3,181,装备,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,800,1,-
44,乌木剑,0,1,44,装备,0,0,4,8,0,1,0,0,0,0,0,0,-1,0,8,3636,1,-
