id,name,start_floor,min_level,rebirth,monster_id,gold,xp,drop_pool
1,银杏小村,1,5,0,1,20,20,1
2,比奇省,6,5,0,2,25,25,2
3,沃玛森林,11,10,0,3,30,30,3
4,半兽人古墓,16,10,0,4,35,35,4
5,废弃矿洞,21,15,0,5,40,40,5
6,未知暗殿,26,20,0,6,45,45,6
7,沃玛寺庙,31,25,0,7,50,50,7
8,死亡棺材,36,30,0,8,55,60,8
9,祖玛神殿,41,35,0,9,60,70,9
10,霸者大厅,46,40,0,10,65,80,10
11,赤月峡谷,51,45,0,11,70,90,11
12,重装之家,56,50,0,12,75,95,12
13,魔龙岭,61,55,0,14,80,100,13
14,牛魔寺庙,66,60,1,13,90,110,14
15,骨魔洞窟,71,70,1,22,100,120,15
16,圣殿回廊,76,80,2,25,110,130,16
17,镇魔神殿,81,90,2,23,120,140,17
18,盘古之地,86,100,3,32,130,150,18
19,上古战场,91,110,3,19,140,160,19
20,诛仙伏魔殿,96,120,4,35,150,170,20
21,混沌战场,101,140,5,34,180,200,21
22,堕落深渊,106,160,6,27,200,250,22
23,主宰地狱,111,180,7,28,220,300,23
24,暗黑之城,116,200,8,26,240,350,24
25,巅峰之路,121,100,9,15,300,500,25
26,巅峰塔①,126,100,10,17,350,600,26
27,巅峰塔②,131,200,10,18,400,700,27
28,巅峰塔③,136,300,10,21,450,800,28
29,巅峰塔④,141,400,10,20,500,900,29
30,巅峰塔⑤,146,500,10,41,550,1000,30
31,巅峰塔⑥,151,600,10,40,600,1100,31
32,巅峰塔⑦,156,700,10,39,650,1200,32
33,巅峰塔⑧,161,800,10,42,700,1300,33
34,巅峰塔⑨,166,900,10,38,750,1400,34
35,巅峰塔⑩,171,1000,10,16,800,1500,35
