id,name,min_level,rebirth,hp,picture,mp,attack_min,attack_max,magic_min,magic_max,tao_min,tao_max,defense_min,defense_max,magic_defense_min,magic_defense_max,attack_school
1,稻草人,2,0,200,16,50,5,25,0,0,0,0,0,5,0,3,attack
2,森林雪人,5,0,400,17,100,10,35,0,0,0,0,0,10,0,8,attack
3,半兽勇士,10,0,600,1,170,10,45,0,0,0,0,2,11,0,8,attack
4,骷髅精灵,15,0,800,2,300,5,25,8,51,0,0,0,9,3,15,magic
5,尸王,20,0,1000,7,500,7,27,0,8,8,62,3,18,1,8,tao
6,邪恶钳虫,25,0,1200,6,800,5,90,0,0,0,0,15,26,7,18,attack
7,沃玛教主,30,0,1500,4,1100,12,58,0,0,19,77,18,45,9,16,tao
8,触龙神,35,0,1800,13,1400,5,137,0,0,0,0,15,39,10,22,attack
9,祖玛教主,40,0,2100,11,1500,5,145,0,0,0,0,13,30,15,30,attack
10,虹魔教主,45,0,2500,9,2000,12,65,5,152,0,0,15,33,18,39,magic
11,赤月恶魔,50,0,3000,25,2300,5,175,0,0,0,0,21,47,28,49,attack
12,黄泉教主,55,0,3500,18,2500,16,72,0,0,8,198,33,66,25,69,tao
13,牛魔王,50,1,6000,12,3000,39,255,0,0,0,0,38,55,43,123,attack
14,魔龙教主,80,0,5000,23,3000,5,75,12,178,0,0,45,92,57,88,magic
15,弓箭手,100,10,60000,3,30000,500,5000,0,0,0,0,500,1050,480,1070,attack
16,妖之树,1000,10,100000,5,50000,100,10000,100,10000,100,10000,100,10000,100,10000,attack
17,白野猪,200,10,70000,8,35000,600,10000,0,0,0,0,750,1650,700,1700,attack
18,虹魔猪卫,300,10,80000,10,40000,700,15000,0,0,0,0,1000,2250,920,2330,attack
19,上古吉兽,80,5,15000,14,6000,10,188,75,551,0,0,98,214,105,205,magic
20,大蜘蛛,500,10,100000,15,50000,0,0,0,0,900,25000,1500,3450,1360,3590,tao
21,摩羯,400,10,90000,19,45000,0,0,800,20000,0,0,1250,2850,1140,2960,magic
22,冰窟卫士,80,2,8000,20,3500,15,177,15,238,0,0,49,125,52,128,magic
23,大斧兽人,80,4,10000,21,5500,77,398,0,0,0,0,61,177,52,189,attack
24,花吻蜘蛛,1000,10,100000,22,50000,100,10000,100,10000,100,10000,100,10000,100,10000,attack
25,小龙,80,3,9000,24,5000,10,125,0,0,54,348,54,168,61,150,tao
26,暗黑守护神,240,9,50000,26,30000,100,1000,0,0,211,1989,301,600,280,570,tao
27,深渊金仙,140,8,22000,27,15000,270,1010,0,0,0,0,131,352,116,388,attack
28,主宰教主,160,9,25000,28,18000,100,200,187,1215,0,0,198,505,221,489,magic
32,龙,120,4,12000,32,6000,36,128,0,0,98,452,77,189,85,174,tao
34,巨魔王,120,7,20000,34,12000,100,200,218,852,0,0,108,300,109,318,magic
35,巨鹰,100,6,18000,35,10000,198,708,0,0,0,0,98,256,128,201,attack
38,蚩尤,1000,10,150000,38,75000,3000,75000,0,0,0,0,2750,6450,2460,6740,attack
39,刑天,800,10,130000,39,65000,2000,55000,0,0,0,0,2250,5250,2020,5480,attack
40,石神,700,10,120000,40,60000,1500,45000,0,0,0,0,2000,4650,1800,4850,attack
41,熔岩魔,600,10,110000,41,55000,1000,35000,0,0,0,0,1750,4050,1580,4220,attack
42,轩辕,900,10,140000,42,70000,2500,65000,0,0,0,0,2500,5850,2240,6110,attack
