id,name,icon,label,x,w
0,地图传送,assets/ui/nav/page-00.png,地图传送,11,94
1,PK竞技场,assets/ui/nav/page-01.png,PK竞技场,111,94
2,幻境,assets/ui/nav/page-02.png,幻境,211,74
3,BOSS之家,assets/ui/nav/page-03.png,BOSS之家,291,104
4,押镖,assets/ui/nav/page-04.png,押镖,401,74
5,行会,assets/ui/nav/page-05.png,行会,481,74
6,沙巴克,assets/ui/nav/page-06.png,沙巴克,561,91
7,城池争夺,assets/ui/nav/page-07.png,城池争夺,658,94
8,传说塔,assets/ui/nav/page-08.png,传说塔,757,91
9,排行榜,assets/ui/nav/page-09.png,排行榜,856,94
10,五行修炼,assets/ui/nav/page-10.png,五行修炼,11,111
11,师徒,assets/ui/nav/page-11.png,师徒,128,77
12,秘境,assets/ui/nav/page-12.png,秘境,211,74
13,世界BOSS,assets/ui/nav/page-13.png,世界BOSS,291,104
14,祭坛,assets/ui/nav/page-14.png,祭坛,401,74
15,寻宝,assets/ui/nav/page-15.png,寻宝,481,74
16,将星图谱,assets/ui/nav/page-16.png,将星图谱,562,87
17,回收系统,assets/ui/nav/page-17.png,回收系统,658,94
18,发红包,assets/ui/nav/page-18.png,发红包,757,91
19,至尊极品殿堂,assets/ui/nav/page-19.png,至尊极品殿堂,856,132
20,背包,assets/ui/nav/page-20.png,背包,252,68
21,铁匠铺,assets/ui/nav/page-21.png,铁匠铺,321,92
22,交易市场,assets/ui/nav/page-22.png,交易市场,414,85
23,图鉴,assets/ui/nav/page-23.png,图鉴,499,69
24,爵位,assets/ui/nav/page-24.png,爵位,569,69
25,称谓,assets/ui/nav/page-25.png,称谓,639,69
26,成就,assets/ui/nav/page-26.png,成就,709,69
27,商店,assets/ui/nav/page-27.png,商店,779,69
28,帮助,assets/ui/nav/page-28.png,帮助,849,69
29,邮箱,assets/ui/nav/page-29.png,邮箱,919,73
30,设置,assets/ui/nav/nav-gear.png,设置,955,33
