id,gold
14,400
15,400
16,50
17,1000
18,900
19,3000
20,3000
21,8000
23,1000
24,1500
25,10000
26,200
27,9091
28,10000
29,9091
30,9091
31,500
32,30000
33,15000
34,3000
35,10000
36,20000
37,4545
38,5000
39,6000
40,500
41,909
42,500
43,800
44,3636
45,15000
46,4545
47,800
48,1000
49,1500
50,800
51,1200
52,1200
53,1500
54,1818
55,3000
56,1500
57,6364
58,1818
59,2727
60,7273
61,2727
62,3636
63,3636
64,3636
65,1818
66,8000
67,20000
68,9091
69,9091
70,1000
71,1000
72,1500
73,4545
74,700
75,20000
76,1818
77,2500
78,10000
79,9091
80,1818
81,1818
82,6000
83,10000
84,1818
85,6000
86,10000
87,4545
88,15000
89,8000
90,7273
91,4000
92,6364
93,5000
94,20000
95,15000
96,20000
97,1818
98,3636
99,10000
100,18000
101,3636
102,10000
103,18000
104,20000
105,20000
106,20000
107,20000
108,20000
109,20000
110,20000
111,20000
112,20000
113,20000
114,20000
115,20000
116,20000
117,40000
118,40000
119,50000
120,10000
121,10000
122,10000
123,10000
124,30000
125,10000
126,10000
127,10000
128,20000
129,10000
130,20000
131,13000
132,40000
133,23000
134,1000000
135,50000
136,50000
137,1000000
139,10
140,15000
141,15000
142,8000
143,10000
144,12000
145,10000
146,10000
147,1000
148,1000
149,1000
150,7273
151,1000000
152,10000
153,10000
154,10000
155,10000
156,10000
157,10000
158,35000
159,35000
160,35000
161,35000
162,35000
163,35000
164,5500
165,5500
166,20000
167,20000
168,20000
169,20000
170,20000
171,20000
172,20000
173,20000
174,20000
175,20000
176,20000
177,20000
178,10000
179,100
180,85000
181,85000
182,85000
183,35000
184,35000
185,35000
186,35000
187,35000
188,35000
189,80000
227,20000
228,40000
229,40000
230,20000
231,20000
232,20000
233,20000
240,10000
241,10000
242,10000
243,10000
244,20000
245,20000
246,20000
247,20000
248,50000
249,50000
250,50000
251,50000
252,50000
253,50000
254,50000
255,50000
256,50000
257,50000
258,50000
259,50000
260,20000
261,10000
262,50000
263,50000
264,50000
265,10000
266,20000
267,50000
268,50000
269,50000
270,10000
271,20000
272,50000
273,50000
274,50000
275,50000
276,50000
277,50000
278,40000
279,40000
280,80000
281,80000
282,80000
341,40000
342,40000
343,100000
344,100000
347,100000
357,50000
358,50000
359,50000
360,50000
361,50000
362,50000
363,50000
364,50000
365,50000
366,50000
367,100000
368,100000
369,100000
370,100000
371,100000
372,100000
373,100000
374,100000
375,100000
376,100000
377,100000
378,100000
379,100000
380,100000
381,100000
382,100000
383,100000
384,100000
385,150000
386,150000
387,150000
388,150000
389,150000
390,150000
391,150000
392,150000
393,150000
394,150000
395,150000
396,150000
397,150000
398,150000
399,150000
422,150000
423,150000
424,150000
425,150000
426,150000
427,150000
428,150000
429,150000
430,150000
431,200000
432,200000
433,200000
434,200000
435,200000
436,200000
437,200000
438,200000
439,200000
447,100000
448,100000
449,100000
450,250000
451,250000
452,250000
453,250000
454,250000
455,250000
456,250000
457,250000
458,250000
459,300000
460,300000
461,300000
462,300000
463,300000
464,300000
465,300000
466,300000
467,300000
468,250000
469,300000
479,100000
480,100000
481,100000
482,100000
521,10
522,10
523,10
524,10
525,10
526,10
527,10
528,10
529,10
530,10
531,20
532,20
533,20
534,20
535,20
536,20
537,20
538,20
539,20
540,20
560,30
561,30
562,30
563,30
564,30
565,30
566,30
567,30
568,30
575,50
576,50
577,50
578,50
579,50
580,50
581,60
582,60
583,60
584,60
585,60
586,60
587,70
588,70
589,70
590,70
591,70
592,70
593,80
594,80
595,80
596,80
597,80
598,80
599,90
600,90
601,90
602,90
603,90
604,90
605,100
606,100
607,100
608,100
609,100
610,100
611,110
612,110
613,110
614,110
615,110
616,110
617,120
618,120
619,120
620,120
621,120
622,120
623,130
624,130
625,130
626,130
627,130
628,130
629,140
630,140
631,140
632,140
633,140
634,140
635,150
636,150
637,150
638,150
639,150
640,150
641,10000
642,10000
643,10000
653,500
654,500
655,500
656,500
657,500
658,500
659,500
660,500
661,500
662,500
663,500
664,500
665,500
666,500
667,500
668,500
669,500
670,500
671,500
672,500
673,500
674,500
675,500
676,500
677,500
678,500
679,500
698,10000
