id,name,class,cid,type,num,item
1,10级奖励,1,1,201,10,1|100000/
2,20级奖励,1,2,201,20,1|200000/217|5/
3,30级奖励,1,3,201,30,223|100/319|100/
4,40级奖励,1,4,201,40,2|100/237|1000/223|100/
5,50级奖励,1,5,201,50,237|2000/319|100/412|1000/
6,60级奖励,1,6,201,60,1|2000000/3|2000000/404|5000/223|200/
7,1转奖励,1,7,202,1,338|1/404|10000/407|2000/408|2000/
8,2转奖励,1,8,202,2,356|2/404|30000/407|10000/408|10000/
9,3转奖励,1,9,202,3,356|3/404|50000/407|15000/408|15000/
10,4转奖励,1,10,202,4,356|4/404|80000/407|20000/408|20000/
11,5转奖励,1,11,202,5,356|5/404|100000/407|25000/408|25000/
12,累计充值10元,2,1,6,1000,338|1/224|10/407|1000/408|1000/
13,累计充值20元,2,2,6,2000,223|200/319|100/407|2000/408|2000/
14,累计充值50元,2,3,6,5000,340|2/319|200/407|3000/408|3000/
15,累计充值100元,2,4,6,10000,319|300/226|1/407|5000/408|5000/
16,累计充值200元,2,5,6,20000,2|1000/226|5/407|10000/408|10000/
17,累计充值300元,2,6,6,30000,2|2000/407|10000/408|10000/223|300/
18,累计充值500元,2,7,6,50000,701|1/407|10000/408|10000/223|500/
19,累计充值800元,2,8,6,80000,2|10000/407|10000/408|10000/223|800/
20,累计充值1000元,2,9,6,100000,701|1/407|15000/408|15000/223|1000/
21,幻境达人(1),3,1,208,10,404|500/
22,幻境达人(2),3,2,208,20,404|1000/407|200/
23,幻境达人(3),3,3,208,30,404|1500/407|200/408|200/
24,幻境达人(4),3,4,208,40,404|2000/407|500/408|500/
25,幻境达人(5),3,5,208,50,404|2500/407|1000/408|1000/
26,幻境达人(6),3,6,208,60,338|1/404|3000/407|1200/408|1200/
27,幻境达人(7),3,7,208,70,404|3500/407|1400/408|1400/
28,幻境达人(8),3,8,208,80,404|4000/407|1600/408|1600/
29,幻境达人(9),3,9,208,90,404|4500/407|1800/408|1800/
30,幻境达人(10),3,10,208,100,134|1/151|1/137|1/
31,幻境达人(11),3,11,208,110,404|5500/407|2200/408|2200/
32,幻境达人(12),3,12,208,120,404|6000/407|2400/408|2400/
33,幻境达人(13),3,13,208,130,404|6500/407|2600/408|2600/
34,幻境达人(14),3,14,208,140,404|7000/407|2800/408|2800/
35,幻境达人(15),3,15,208,150,404|7500/407|3000/408|3000/
36,幻境达人(16),3,16,208,160,404|8000/407|3200/408|3200/
37,幻境达人(17),3,17,208,170,404|8500/407|3400/408|3400/
38,幻境达人(18),3,18,208,180,404|9000/407|3600/408|3600/
39,幻境达人(19),3,19,208,190,404|9500/407|3800/408|3800/
40,幻境达人(20),3,20,208,200,280|1/281|1/282|1/
41,幻境达人(21),3,21,208,210,404|10500/407|4200/408|4200/
42,幻境达人(22),3,22,208,220,404|11000/407|4400/408|4400/
43,幻境达人(23),3,23,208,230,404|11500/407|4600/408|4600/
44,幻境达人(24),3,24,208,240,404|12000/407|4800/408|4800/
45,幻境达人(25),3,25,208,250,404|12500/407|5000/408|5000/
46,幻境达人(26),3,26,208,260,404|13000/407|5200/408|5200/
47,幻境达人(27),3,27,208,270,404|13500/407|5400/408|5400/
48,幻境达人(28),3,28,208,280,404|14000/407|5600/408|5600/
49,幻境达人(29),3,29,208,290,404|14500/407|5800/408|5800/
50,幻境达人(30),3,30,208,300,363|1/364|1/365|1/
51,幻境达人(31),3,31,208,310,404|15500/407|6200/408|6200/
52,幻境达人(32),3,32,208,320,404|16000/407|6400/408|6400/
53,幻境达人(33),3,33,208,330,404|16500/407|6600/408|6600/
54,幻境达人(34),3,34,208,340,404|17000/407|6800/408|6800/
55,幻境达人(35),3,35,208,350,366|1/404|17500/407|7000/408|7000/
56,幻境达人(36),3,36,208,360,404|18000/407|7200/408|7200/
57,幻境达人(37),3,37,208,370,404|18500/407|7400/408|7400/
58,幻境达人(38),3,38,208,380,404|19000/407|7600/408|7600/
59,幻境达人(39),3,39,208,390,404|19500/407|7800/408|7800/
60,幻境达人(40),3,40,208,400,404|20000/407|8000/408|8000/
61,幻境达人(41),3,41,208,410,404|20500/407|8200/408|8200/
62,幻境达人(42),3,42,208,420,404|21000/407|8400/408|8400/
63,幻境达人(43),3,43,208,430,404|21500/407|8600/408|8600/
64,幻境达人(44),3,44,208,440,404|22000/407|8800/408|8800/
65,幻境达人(45),3,45,208,450,404|22500/407|9000/408|9000/
66,幻境达人(46),3,46,208,460,404|23000/407|9200/408|9200/
67,幻境达人(47),3,47,208,470,404|23500/407|9400/408|9400/
68,幻境达人(48),3,48,208,480,404|24000/407|9600/408|9600/
69,幻境达人(49),3,49,208,490,404|24500/407|9800/408|9800/
70,幻境达人(50),3,50,208,500,404|25000/407|10000/408|10000/
71,幻境达人(51),3,51,208,510,404|25500/407|10200/408|10200/
72,幻境达人(52),3,52,208,520,404|26000/407|10400/408|10400/
73,幻境达人(53),3,53,208,530,404|26500/407|10600/408|10600/
74,幻境达人(54),3,54,208,540,404|27000/407|10800/408|10800/
75,幻境达人(55),3,55,208,550,404|27500/407|11000/408|11000/
76,幻境达人(56),3,56,208,560,404|28000/407|11200/408|11200/
77,幻境达人(57),3,57,208,570,404|28500/407|11400/408|11400/
78,幻境达人(58),3,58,208,580,404|29000/407|11600/408|11600/
79,幻境达人(59),3,59,208,590,404|29500/407|11800/408|11800/
80,幻境达人(60),3,60,208,600,404|30000/407|12000/408|12000/
81,击杀银杏小村BOSS稻草人,4,1,206,1,319|10/
82,击杀比奇省BOSS森林雪人,4,2,206,2,319|20/
83,击杀沃玛森林BOSS半兽勇士,4,3,206,3,319|30/
84,击杀半兽人古墓BOSS骷髅精灵,4,4,206,4,319|50/217|10/
85,击杀废弃矿洞BOSS尸王,4,5,206,5,319|100/224|1/
86,击杀未知暗殿BOSS邪恶钳虫,4,6,206,6,319|150/224|1/2|50/
87,击杀沃玛寺庙BOSS沃玛教主,4,7,206,7,319|200/224|1/2|100/
88,击杀死亡棺材BOSS触龙神,4,8,206,8,319|300/225|1/2|200/
89,击杀祖玛寺庙BOSS祖玛教主,4,9,206,9,319|400/225|1/2|300/
90,击杀霸者大厅BOSS虹膜教主,4,10,206,10,319|500/225|1/2|400/
