id,name,picture,job,lvl,zhp,zmp,za1,za2,zb2,zc1,zc2,zd1,zd2,ze1,ze2,zf1,item,zb1,met,ztx
1,沃玛教主,4,3,25,1000,300,7,27,8,8,55,3,18,1,8,2,86|1|1|10/83|1|1|10/129|1|1|10/131|1|1|10/145|1|1|10/146|1|1|10/142|1|1|10/88|1|1|10/102|1|1|10/45|1|1|50/33|1|1|50/36|1|1|50/93|1|1|20/,,,
2,祖玛教主,11,3,35,1500,800,12,58,,19,77,9,24,3,28,3,95|1|1|10/96|1|1|10/99|1|1|10/100|1|1|10/103|1|1|10/130|1|1|10/132|1|1|10/140|1|1|10/141|1|1|10/143|1|1|10/144|1|1|10/,,,
3,赤月恶魔,25,1,45,2000,1000,5,152,,,,13,30,15,30,4,166|1|1|10/167|1|1|10/168|1|1|10/169|1|1|10/170|1|1|10/171|1|1|10/172|1|1|10/173|1|1|10/174|1|1|10/175|1|1|10/176|1|1|10/177|1|1|10/,,,
4,魔龙教主,23,2,70,3000,1500,5,75,175,,,21,45,19,49,5,257|1|1|10/258|1|1|10/259|1|1|10/262|1|1|10/263|1|1|10/264|1|1|10/267|1|1|10/268|1|1|10/269|1|1|10/,10,,
5,牛魔王,12,1,80,5000,3000,12,198,,,,45,92,67,88,6,248|1|1|10/249|1|1|10/250|1|1|10/251|1|1|10/252|1|1|10/253|1|1|10/254|1|1|10/255|1|1|10/256|1|1|10/,,1,
6,一转守护神,26,2,60,2000,1000,7,30,33,,,8,20,11,20,1,348|1|1|10/347|1|1|500/,7,,
7,二转守护神,24,2,80,3500,1500,30,150,205,,,38,75,30,82,6,349|1|1|10/347|1|1|500/,28,1,
8,三转守护神,21,3,100,5000,3000,50,100,,48,289,52,108,41,115,7,350|1|1|10/347|1|1|500/,,2,
9,四转守护神,14,3,120,7000,6000,100,200,,80,402,98,177,111,145,8,351|1|1|10/347|1|1|500/,,3,
10,五转守护神,35,1,140,10000,7500,120,655,,,,130,208,145,198,9,352|1|1|10/347|1|1|500/,,4,
11,六转守护神,32,1,160,12000,10000,220,808,,,,208,355,221,329,9,440|1|1|10/347|1|1|500/,,5,
12,七转守护神,28,1,180,15000,12000,380,1055,,,,309,421,288,453,9,441|1|1|10/347|1|1|500/,,6,
13,八转守护神,27,2,200,17500,14000,100,200,1175,,,391,461,358,482,9,442|1|1|10/347|1|1|500/,424,7,
14,九转守护神,34,2,220,20000,16000,100,200,1257,,,452,524,439,576,9,443|1|1|10/347|1|1|500/,480,8,
15,龙神1★,11,1,100,30000,20000,500,5000,,,,150,1000,150,1000,9,644|1|1|10/,,10,1|20/4|20/
16,龙神2★,9,1,150,40000,30000,600,7500,,,,200,1200,200,1200,9,645|1|1|10/,,10,1|20/4|20/
17,龙神3★,12,2,200,50000,40000,,,10000,,,300,1500,300,1500,9,646|1|1|10/,700,10,1|20/4|20/
18,龙神4★,23,2,250,60000,50000,,,13000,,,350,1700,350,1700,8,647|1|1|10/,1000,10,1|20/4|20/
19,龙神5★,26,3,300,70000,60000,,,,1000,15000,400,1900,400,1900,8,648|1|1|10/,,10,1|20/4|20/
20,龙神6★,32,1,350,80000,70000,1100,17500,,,,500,1200,2000,5000,8,649|1|1|10/,,10,1|20/4|20/
21,龙神7★,41,1,400,90000,80000,1200,20000,,,,2500,5000,600,1300,7,650|1|1|10/,,10,1|20/4|20/
22,龙神8★,39,2,450,100000,90000,,,25000,,,100,1000,3000,8000,7,651|1|1|10/,1500,10,1|20/4|20/
23,龙神9★,38,2,500,150000,100000,,,30000,,,1000,2500,1000,2500,7,652|1|1|10/,2000,10,1|20/4|20/
24,渡劫之王(一),21,1,500,100000,100000,2500,25000,,,,2000,3000,1000,2000,9,681|1|1|10/,,10,1|20/4|20/
25,渡劫之王(二),42,2,600,200000,200000,,,30000,,,1000,2000,2000,4000,9,682|1|1|10/,3000,10,1|20/4|20/
26,渡劫之王(三),34,3,700,300000,300000,,,,3500,35000,2000,4500,2000,4500,9,683|1|1|10/,,10,1|20/4|20/
27,渡劫之王(四),28,1,800,400000,400000,4000,40000,,,,2500,5000,2500,5000,9,684|1|1|10/,,10,1|20/4|20/
28,渡劫之王(五),35,1,900,500000,500000,5000,50000,,,,3000,6000,3000,6000,9,685|1|1|10/,,10,1|100/
