id,name,picture,present,type,num,profit,profitnum
1,钱庄(1),1,产出金钱,1,500000,1,500000
2,钱庄(2),2,产出金钱,1,1000000,1,1000000
3,钱庄(3),3,产出金钱,1,1500000,1,1500000
4,钱庄(4),4,产出金钱,1,2000000,1,2000000
5,钱庄(5),5,产出金钱,1,2250000,1,2250000
6,钱庄(6),6,产出金钱,1,2500000,1,2500000
7,钱庄(7),7,产出金钱,1,2750000,1,2750000
8,钱庄(8),8,产出金钱,1,3000000,1,3000000
9,私塾(1),9,产出声望,4,1000,4,1000
10,私塾(2),10,产出声望,4,2000,4,2000
11,私塾(3),11,产出声望,4,3000,4,3000
12,私塾(4),12,产出声望,4,4000,4,4000
13,私塾(5),13,产出声望,4,5000,4,5000
14,私塾(6),14,产出声望,4,6000,4,6000
15,私塾(7),15,产出声望,4,7000,4,7000
16,私塾(8),16,产出声望,4,8000,4,8000
17,矿洞(1),17,产出黑铁矿石,223,10,223,10
18,矿洞(2),18,产出黑铁矿石,223,15,223,15
19,矿洞(3),19,产出黑铁矿石,223,20,223,20
20,矿洞(4),20,产出黑铁矿石,223,25,223,25
21,矿洞(5),21,产出黑铁矿石,223,30,223,30
22,矿洞(6),22,产出黑铁矿石,223,35,223,35
23,矿洞(7),23,产出黑铁矿石,223,40,223,40
24,矿洞(8),24,产出黑铁矿石,223,45,223,45
25,书店(1),25,产出技能书,404,10,404,10
26,书店(2),26,产出技能书,404,20,404,20
27,书店(3),27,产出技能书,404,30,404,30
28,书店(4),28,产出技能书,404,40,404,40
29,书店(5),29,产出技能书,404,50,404,50
30,书店(6),30,产出技能书,404,60,404,60
31,书店(7),31,产出技能书,404,70,404,70
32,书店(8),32,产出技能书,404,80,404,80
33,战场(1),33,产出战功,5,200,5,200
34,战场(2),34,产出战功,5,400,5,400
35,战场(3),35,产出战功,5,600,5,600
36,战场(4),36,产出战功,5,800,5,800
37,战场(5),37,产出战功,5,1000,5,1000
38,战场(6),38,产出战功,5,1200,5,1200
39,战场(7),39,产出战功,5,1400,5,1400
40,战场(8),40,产出战功,5,1600,5,1600
