id,name,ida,anum,idb,bnum,idc,cnum,itemid,num,xsb,fw,fwb,tx,fwa
1,1#符文升级,501,1,501,1,501,1,502,1,,,,,
2,2#符文升级,502,1,502,1,502,1,503,1,,,,,
3,3#符文升级,503,1,503,1,503,1,504,1,,,,,
4,4#符文升级,504,1,504,1,504,1,505,1,,,,,
5,5#符文升级,505,1,505,1,505,1,506,1,,,,,
6,6#符文升级,506,1,506,1,506,1,507,1,,,,,
7,7#符文升级,507,1,507,1,507,1,508,1,,,,,
8,8#符文升级,508,1,508,1,508,1,509,1,,,,,
9,9#符文升级,509,1,509,1,509,1,510,1,,,,,
10,10#符文升级,510,1,510,1,510,1,511,1,,,,,
11,11#符文升级,511,1,511,1,511,1,512,1,,,,,
12,2#符文降级,502,1,223,10,,,501,1,,,,,
13,3#符文降级,503,1,223,10,,,502,1,,,,,
14,4#符文降级,504,1,223,10,,,503,1,,,,,
15,5#符文降级,505,1,223,10,,,504,1,,,,,
16,6#符文降级,506,1,223,10,,,505,1,,,,,
17,7#符文降级,507,1,223,10,,,506,1,,,,,
18,8#符文降级,508,1,223,10,,,507,1,,,,,
19,9#符文降级,509,1,223,10,,,508,1,,,,,
20,10#符文降级,510,1,223,10,,,509,1,,,,,
21,11#符文降级,511,1,223,10,,,510,1,,,,,
22,12#符文降级,512,1,223,10,,,511,1,,,,,
23,屠龙,501,1,501,1,503,1,134,1,10,,,,
24,嗜魂法杖,501,1,503,1,501,1,137,1,10,,,,
25,赤血魔剑,503,1,501,1,501,1,151,1,10,,,,
26,怒斩,502,1,502,1,504,1,180,1,15,,,,
27,龙牙,502,1,504,1,502,1,181,1,15,,,,
28,逍遥扇,504,1,502,1,502,1,182,1,15,,,,
29,开天,503,1,503,1,505,1,280,1,20,,,,
30,镇天,503,1,505,1,503,1,281,1,20,,,,
31,玄天,505,1,503,1,503,1,282,1,20,,,,
32,黄金屠龙,507,1,507,1,,,366,1,20,,,,
33,黄金裁决,505,1,505,1,507,1,363,1,20,,,,
34,黄金嗜魂法杖,505,1,507,1,505,1,364,1,20,,,,
35,黄金逍遥扇,507,1,505,1,505,1,365,1,20,,,,
36,王者之刃,508,1,508,1,507,1,397,1,20,,,,
37,王者之杖,508,1,507,1,508,1,398,1,20,,,,
38,王者之剑,507,1,508,1,508,1,399,1,20,,,,
39,天龙圣剑,509,1,507,1,,,428,1,20,,,,
40,金牛圣刃,510,1,507,1,,,437,1,20,,,,
41,城主战袍(男),503,1,505,1,,,341,1,20,,,,
42,城主战袍(女),505,1,503,1,,,342,1,20,,,,
43,凤天魔甲,504,1,505,1,,,278,1,20,,,,
44,凤天魔衣,505,1,504,1,,,279,1,20,,,,
45,天龙圣袍,509,1,506,1,,,429,1,20,,,,
46,天龙圣衣,506,1,509,1,,,430,1,20,,,,
47,金牛圣袍,510,1,506,1,,,438,1,20,,,,
48,金牛圣衣,506,1,510,1,,,439,1,20,,,,
49,转换石,501,1,509,1,,,446,1,,,,,
50,金条合金砖,224,5,501,1,,,225,1,,,,,
51,金条合金盒,224,10,502,1,,,226,1,,,,,
52,金砖合金盒,225,2,501,1,,,226,1,,,,,
53,1元宝合100元宝,333,100,501,1,,,335,1,,,,,
54,1元宝合1000元宝,333,1000,502,1,,,336,1,,,,,
55,10元宝合100元宝,334,10,501,1,,,335,1,,,,,
56,10元宝合1000元宝,334,100,502,1,,,336,1,,,,,
57,100元宝合1000元宝,335,10,501,1,,,336,1,,,,,
58,物资打捆,339,1000,501,1,,,340,1,,,,,
59,小灵石合中灵石,354,5,501,1,,,355,1,,,,,
60,小灵石合大灵石,354,10,502,1,,,356,1,,,,,
61,中灵石合大灵石,355,2,501,1,,,356,1,,,,,
62,100红包合1000红包,419,10,501,1,,,420,1,,,,,
63,100红包合10000红包,419,100,502,1,,,421,1,,,,,
64,1000红包合10000红包,420,10,501,1,,,421,1,,,,,
65,5+1+11=铁锹,505,1,501,1,511,1,447,1,30,,,,
66,11+5+1=劳动制服男,511,1,505,1,501,1,448,1,30,,,,
67,11+1+5=劳动制服女,511,1,501,1,505,1,449,1,30,,,,
68,10+9=主宰神剑,510,1,509,1,,,456,1,20,,,,
69,11+9=荣耀神剑,511,1,509,1,,,465,1,20,,,,
70,12+10+8=8转斗笠,512,1,510,1,508,1,468,1,20,1,50,,
71,12+11+9=9转斗笠,512,1,511,1,509,1,469,1,20,1,50,,
72,12#符文升级,512,1,512,1,512,1,513,1,,,,,
