id,name,picture,pirce,aclass,bclass,cclass,overlap,weight,lvl,d2,e2,a1,a2,d1,e1,job,b2,c2,c1,b1,need,present,hp,mp,met,f1,exp,fj
1,金币,116,100,,,,,,,,,,,,,,,,,,,,,,,,,
2,元宝,1121,1000,,,,,,,,,,,,,,,,,,,,,,,,,
3,经验,1187,,,,,,,,,,,,,,,,,,,,,,,,,,
4,声望,1186,,,,,,,,,,,,,,,,,,,,,,,,,,
5,战功,1137,,,,,,,,,,,,,,,,,,,,,,,,,,
6,累冲,861,,,,,,,,,,,,,,,,,,,,,,,,,,
7,红包,1019,,,,,,,,,,,,,,,,,,,,,,,,,,
8,积分,1134,,,,,,,,,,,,,,,,,,,,,,,,,,
9,储备经验,1689,,,,,,,,,,,,,,,,,,,,,,,,,,
10,推广币,1336,,,,,,,,,,,,,,,,,,,,,,,,,,
11,肉,2,150,道具,任务,肉,99999,3,,,,,,,,,,,,,,,,,,,,
12,干肉,6,200,道具,任务,肉,99999,1,,,,,,,,,,,,,,,,,,,,
13,鸡肉,14,100,道具,任务,肉,99999,1,,,,,,,,,,,,,,,,,,,,
14,布衣(男),61,400,装备,衣服,1,,5,1,2,1,,,,,,,,,,,,,,,,,
15,布衣(女),81,400,装备,衣服,2,,5,1,2,1,,,,,,,,,,,,,,,,,
16,木剑,31,50,装备,武器,,,7,1,,,2,5,,,,,,,,,,,,,,,
17,铁剑,37,1000,装备,武器,,,10,10,,,5,9,,,,,,,,,,,,,,,
18,青铜剑,32,900,装备,武器,,,9,5,,,3,7,,,,,,,,,,,,,,,
19,轻型盔甲(男),62,3000,装备,衣服,1,,8,11,3,2,,,3,1,,,,,,,,,,,,,
20,轻型盔甲(女),82,3000,装备,衣服,2,,8,11,3,2,,,3,1,,,,,,,,,,,,,
21,凝霜,46,8000,装备,武器,,,20,25,,,10,13,,,,,,,,,,,,,,,
22,蜡烛,131,10,装备,勋章,,,1,,,,,,,,,,,,,,,,,,,,
23,短剑,34,1000,装备,武器,,,9,10,,,3,11,,,,,,,,,,,,,,,
24,青铜斧,33,1500,装备,武器,,,10,13,,,,15,,,,,,,,,,,,,,,
25,重盔甲(女),83,10000,装备,衣服,2,,23,22,7,3,,,4,2,1,,,,,,,,,,,,
26,魔法长袍(女),84,200,装备,衣服,2,,12,22,5,4,,,3,3,2,2,,,,,,,,,,,
27,灵魂战衣(女),85,9091,装备,衣服,2,,15,22,6,3,,,3,3,3,,2,,,,,,,,,,
28,重盔甲(男),63,10000,装备,衣服,1,,23,22,7,3,,,4,2,1,,,,,,,,,,,,
29,魔法长袍(男),64,9091,装备,衣服,1,,12,22,5,4,,,3,3,2,2,,,,,,,,,,,
30,灵魂战衣(男),65,9091,装备,衣服,1,,15,22,6,3,,,3,3,3,,2,,,,,,,,,,
31,匕首,36,500,装备,武器,,,5,1,,,4,5,,,,,,,,,,,,,,,
32,井中月,49,30000,装备,武器,,,58,28,,,7,22,,,,,,,,,,,,,,,
33,银蛇,39,15000,装备,武器,,,26,26,1,,7,14,,,,,3,1,,,,,,,,,
34,海魂,40,3000,装备,武器,,,12,15,,,3,10,,,,2,,,1,,,,,,,,
35,修罗,41,10000,装备,武器,,,40,22,,,,20,,,,,,,,,,,,,,,
36,炼狱,42,20000,装备,武器,,,60,26,,,,25,,,,,,,,,,,,,,,
37,凌风,35,4545,装备,武器,,,20,19,,,6,12,,,,,,,,,,,,,,,
38,破魂,52,5000,装备,武器,,,8,20,2,,8,10,,,,,,,,,,,,,,,
39,斩马刀,38,6000,装备,武器,,,27,20,,,5,15,,,,,,,,,,,,,,,
40,古铜戒指,146,500,装备,戒指,,,1,3,,,,1,,,,,,,,,,,,,,,
41,青铜头盔,101,909,装备,头盔,,,4,10,1,,,,,,,,,,,,,,,,,,
42,金项链,223,500,装备,项链,,,1,2,,1,,1,,,,,,,,,,,,,,,
43,铁手镯,181,800,装备,手镯,,,1,3,1,,,,,,,,,,,,,,,,,,
44,乌木剑,44,3636,装备,武器,,,8,1,,,4,8,,,,1,,,,,,,,,,,
45,魔杖,43,15000,装备,武器,,,10,26,,,5,9,,,,5,,,2,,,,,,,,
46,八荒,45,4545,装备,武器,,,25,15,,,4,12,,,,,,,,,,,,,,,
47,玻璃戒指,144,800,装备,戒指,,,1,7,,,,,,,,,1,,,,,,,,,,
48,牛角戒指,141,1000,装备,戒指,,,1,9,,1,,1,,,,,,,,,,,,,,,
49,蓝色水晶戒指,143,1500,装备,戒指,,,1,16,,2,1,,,,,,,,,,,,,,,,
50,六角戒指,145,800,装备,戒指,,,1,7,,,,,,,,1,,,,,,,,,,,
51,黑檀项链,221,1200,装备,项链,,,1,13,,,,,,,,,,,1,,,,,,,,
52,黄色水晶项链,222,1200,装备,项链,,,1,13,,,,,,,,,,1,,,,,,,,,
53,黑色水晶项链,226,1500,装备,项链,,,1,13,,,1,,,,,,,,,,,,,,,,
54,魔法头盔,101,1818,装备,头盔,,,4,14,1,1,,,,1,,,,,,,,,,,,,
55,半月,47,3000,装备,武器,,,16,15,,,5,10,,,,1,1,1,,,,,,,,,
56,皮制手套,191,1500,装备,手镯,,,2,7,1,,,,,,,,,,,,,,,,,,
57,坚固手套,192,6364,装备,手镯,,,3,18,2,,,,,,,,,,,,,,,,,,
58,钢手镯,181,1818,装备,手镯,,,1,8,1,1,,,,,,,,,,,,,,,,,
59,生铁戒指,142,2727,装备,戒指,,,1,9,2,,,,,,,1,,,,2,,,,,,,
60,金戒指,149,7273,装备,戒指,,,1,20,,3,1,1,,,,1,1,1,1,,,,,,,,
61,灯笼项链,234,2727,装备,项链,,,1,18,1,,1,,,,,,,,,,,,,,,,
62,白色虎齿项链,231,3636,装备,项链,,,1,11,2,,,,,,,,1,1,,3,,,,,,,
63,魅力戒指,160,3636,装备,戒指,,,1,23,,,,,,,,2,,,1,,,,,,,,
64,道德戒指,154,3636,装备,戒指,,,1,23,,,,,,,,,2,1,,,,,,,,,
65,白金项链,232,1818,装备,项链,,,1,10,,,,,,,,2,,,,2,,,,,,,
66,降妖除魔戒指,153,8000,装备,戒指,,,1,25,,4,1,2,,,,2,2,1,1,,,,,,,,
67,躲避手链,239,20000,装备,项链,,,1,12,,3,,,,,,,,,,3,,,,,,,
68,偃月,50,9091,装备,武器,,,13,20,,,4,10,,,,3,,,1,,,,,,,,
69,降魔,48,9091,装备,武器,,,20,20,1,,6,11,,,,,2,1,,,,,,,,,
70,传统项链,238,1000,装备,项链,,,1,3,1,,,,,,,,,,,,,,,,,,
71,小手镯,193,1000,装备,手镯,,,1,5,,1,,,,,,,,,,,,,,,,,
72,银手镯,203,1500,装备,手镯,,,2,7,,1,,,,,,,,,,,,,,,,,
73,大手镯,204,4545,装备,手镯,,,2,9,1,,,,1,,,,,,,,,,,,,,
74,鹤嘴锄,51,700,装备,武器,,,10,1,,,,8,,,,,,,,,,,,,,,
75,隐身戒指,175,20000,装备,戒指,隐身,,1,12,,2,,,,,,,,,,,,,,,,,
76,黑色水晶戒指,164,1818,装备,戒指,,,1,20,,,,2,,,,,,,,,,,,,,,
77,魔鬼项链,236,2500,装备,项链,,,1,17,,,2,,,,,,,,,,,,,,,,
78,珊瑚戒指,165,10000,装备,戒指,,,1,25,,,,4,,,,,,,,,,,,,,,
79,蓝翡翠项链,247,9091,装备,项链,,,1,23,,,2,2,,,,,,,,,,,,,,,
80,蛇眼戒指,166,1818,装备,戒指,,,1,20,,,,,,,,2,,,,,,,,,,,
81,琥珀项链,237,1818,装备,项链,,,1,17,,,,,,,,,,,2,,,,,,,,
82,放大镜,246,6000,装备,项链,,,1,24,,,,,,,,3,,,1,,,,,,,,
83,红宝石戒指,167,10000,装备,戒指,,,1,27,,,,,,,,4,,,,2,,,,,,,
84,珍珠戒指,162,1818,装备,戒指,,,1,20,,,,,,,,,2,,,,,,,,,,
85,竹笛,243,6000,装备,项链,,,1,24,,,,,,,,,3,1,,,,,,,,,
86,铂金戒指,174,10000,装备,戒指,,,1,27,,,,,,,,,4,,,3,,,,,,,
87,骷髅戒指,178,4545,装备,戒指,,,1,30,,,,3,,,,,,,,1,,,,,,,
88,龙之戒指,170,15000,装备,戒指,,,1,37,,,,5,,,,,,,,1,,,,,,,
89,死神手套,189,8000,装备,手镯,,,2,22,,,1,2,,,,,,,,,,,,,,,
90,骷髅头盔,104,7273,装备,头盔,,,5,30,3,,,,2,,,,,,,1,,,,,,,
91,魔法手镯,206,4000,装备,手镯,,,1,18,1,2,,,,1,,,,,,,,,,,,,
92,金手镯,208,6364,装备,手镯,,,1,23,,3,,1,,2,,,,,,,,,,,,,
93,道士头盔,107,5000,装备,头盔,,,3,24,2,3,,,1,2,,,,,,,,,,,,,
94,传送戒指,173,20000,装备,戒指,,,1,12,,,,,,,,,,,,,,,,,,,
95,骑士手镯,210,15000,装备,手镯,,,1,39,,,2,2,,,,,,,,1,,,,,,,
96,绿色项链,241,20000,装备,项链,,,1,37,,,2,5,,,,,,,,1,,,,,,,
97,凤凰明珠,244,1818,装备,项链,,,1,17,1,,,,,,,,2,1,,,,,,,,,
98,道士手镯,199,3636,装备,手镯,,,1,19,,,,,,,,,1,,,,,,,,,,
99,三眼手镯,209,10000,装备,手镯,,,1,22,1,,,,1,,,,3,1,,3,,,,,,,
100,灵魂项链,240,18000,装备,项链,,,1,23,2,,,,,,,,6,1,,3,,,,,,,
101,黑檀手镯,212,3636,装备,手镯,,,1,19,,,,,,,,1,,,,,,,,,,,
102,思贝儿手镯,211,10000,装备,手镯,,,1,26,,,,,,,,2,,,,,,,,,,,
103,恶魔铃铛,245,18000,装备,项链,,,1,27,2,,,,,,,7,,,,2,,,,,,,
104,麻痹戒指,169,20000,装备,戒指,麻痹,,1,16,,,,1,,,,,,,,,,,,,,,
105,复活戒指,176,20000,装备,戒指,复活,,1,16,1,1,,,,,,,,,,,,,,,,,
106,火焰戒指,172,20000,装备,戒指,,,1,16,,,,,,,,2,,,1,,,,,,,,
107,防御戒指,168,20000,装备,戒指,,,1,16,,,,,,,,,2,1,,,,,,,,,
108,求婚戒指,171,20000,装备,戒指,,,1,16,,,,,,,,,,,,,,,,,,,
