id,name,need,bhp,bmp,ba2,bb2,bc2,bd2,be2,bspeed,exptwo
1,亲王,50000,20,20,20,20,20,20,20,10,50
2,国公,50000,12,12,12,12,12,12,12,7,40
3,国公,50000,12,12,12,12,12,12,12,7,40
4,国公,50000,12,12,12,12,12,12,12,7,40
5,侯爵,50000,8,8,8,8,8,8,8,5,25
6,侯爵,50000,8,8,8,8,8,8,8,5,25
7,侯爵,50000,8,8,8,8,8,8,8,5,25
8,侯爵,50000,8,8,8,8,8,8,8,5,25
9,侯爵,50000,8,8,8,8,8,8,8,5,25
10,伯爵,50000,5,5,5,5,5,5,5,3,15
11,伯爵,50000,5,5,5,5,5,5,5,3,15
12,伯爵,50000,5,5,5,5,5,5,5,3,15
13,伯爵,50000,5,5,5,5,5,5,5,3,15
14,伯爵,50000,5,5,5,5,5,5,5,3,15
15,伯爵,50000,5,5,5,5,5,5,5,3,15
16,伯爵,50000,5,5,5,5,5,5,5,3,15
17,伯爵,50000,5,5,5,5,5,5,5,3,15
18,伯爵,50000,5,5,5,5,5,5,5,3,15
19,伯爵,50000,5,5,5,5,5,5,5,3,15
20,大臣,50000,5,5,5,5,5,5,5,2,10
21,县令,30000,5,5,5,5,5,,,1,5
22,豪杰,10000,5,5,5,5,5,,,1,2
23,乡绅,3000,3,3,3,3,3,,,,1
