id,name,picture,present,lvl,boss,exp,money,item,met
1,银杏小村,1,鸡|鹿|稻草人|多钩猫|钉耙猫|羊,5,1,20,20,234|1|1|200/235|1|1|200/236|1|1|200/237|1|1|200/238|1|1|200/239|1|1|200/16|1|1|50/14|1|1|50/15|1|1|50/18|1|1|50/31|1|1|50/42|1|1|50/43|1|1|50/40|1|1|50/70|1|1|50/71|1|1|50/44|1|1|100/,
2,比奇省,2,半兽人|半兽战士|食人花|狼|稻草人,5,2,25,25,234|1|1|200/235|1|1|200/236|1|1|200/237|1|1|200/238|1|1|200/239|1|1|200/19|1|1|100/20|1|1|100/17|1|1|100/41|1|1|100/47|1|1|100/48|1|1|100/50|1|1|100/56|1|1|100/58|1|1|100/59|1|1|100/65|1|1|100/72|1|1|100/73|1|1|100/23|1|1|100/,
3,沃玛森林,3,半兽战士|半兽勇士|多钩猫|钉耙猫|森林雪人|食人树,10,3,30,30,234|1|1|200/235|1|1|200/236|1|1|200/237|1|1|200/238|1|1|200/239|1|1|200/34|1|1|200/46|1|1|100/55|1|1|200/62|1|1|200/65|1|1|200/67|1|1|200/54|1|1|200/24|1|1|200/19|1|1|200/20|1|1|200/51|1|1|200/52|1|1|200/53|1|1|200/49|1|1|200/,
4,半兽人古墓,4,蛆|骷髅|掷斧骷髅|骷髅战将|山洞蝙蝠|蝎子,10,4,35,35,234|1|1|200/235|1|1|200/236|1|1|200/237|1|1|200/238|1|1|200/239|1|1|200/164|1|1|200/165|1|1|200/61|1|1|200/60|1|1|200/68|1|1|200/69|1|1|200/76|1|1|200/80|1|1|200/81|1|1|200/84|1|1|200/91|1|1|200/97|1|1|200/98|1|1|200/39|1|1|200/,
5,废弃矿洞,5,僵尸|骷髅战将|骷髅战士|闪电僵尸|蛆,15,5,40,40,234|1|1|200/235|1|1|200/236|1|1|200/237|1|1|200/238|1|1|200/239|1|1|200/25|1|1|200/26|1|1|200/28|1|1|200/27|1|1|200/29|1|1|200/30|1|1|200/35|1|1|200/63|1|1|200/64|1|1|200/78|1|1|200/79|1|1|200/82|1|1|200/85|1|1|200/89|1|1|200/92|1|1|200/93|1|1|200/,
6,未知暗殿,6,蜈蚣|钳虫|白野猪|红野猪|黑野猪|鹿|黑色恶蛆,20,6,45,45,234|1|1|200/235|1|1|200/236|1|1|200/237|1|1|200/238|1|1|200/239|1|1|200/66|1|1|200/21|1|1|200/87|1|1|200/90|1|1|200/93|1|1|200/25|1|1|200/26|1|1|200/27|1|1|200/28|1|1|200/29|1|1|200/30|1|1|200/89|1|1|200/92|1|1|200/,
7,沃玛寺庙,7,山洞蝙蝠|粪虫|暗黑战士|沃玛战将|沃玛勇士|火焰沃玛|沃玛卫士,25,7,50,50,234|1|1|150/235|1|1|150/236|1|1|150/237|1|1|150/238|1|1|150/239|1|1|150/86|1|1|200/83|1|1|200/129|1|1|200/131|1|1|200/145|1|1|200/146|1|1|200/142|1|1|200/88|1|1|200/102|1|1|200/45|1|1|200/33|1|1|200/36|1|1|200/,
8,死亡棺材,8,钳虫|蜈蚣|黑色恶蛆|飞蛾,30,8,60,55,234|1|1|150/235|1|1|150/236|1|1|150/237|1|1|150/238|1|1|150/239|1|1|150/158|1|1|200/159|1|1|200/160|1|1|200/161|1|1|200/162|1|1|200/163|1|1|200/,
9,祖玛神殿,9,大老鼠|蛾子|角蝇|祖玛弓箭手|祖玛雕像|祖玛卫士,35,9,70,60,234|1|1|150/235|1|1|150/236|1|1|150/237|1|1|150/238|1|1|150/239|1|1|150/95|1|1|200/96|1|1|200/99|1|1|200/100|1|1|200/103|1|1|200/130|1|1|200/132|1|1|200/140|1|1|200/141|1|1|200/143|1|1|200/144|1|1|200/,
10,霸者大厅,10,蝎蛇|角蝇|白野猪|邪恶毒蛇|虹魔猪卫|虹魔蝎卫,40,10,80,65,234|1|1|150/235|1|1|150/236|1|1|150/237|1|1|150/238|1|1|150/239|1|1|150/152|1|1|200/153|1|1|200/154|1|1|200/155|1|1|200/156|1|1|200/157|1|1|200/,
