id,name,picture,job,lvl,zhp,zmp,za1,za2,zd2,ze2,item,zd1,zb1,zb2,ze1,zf1,zc1,zc2,met,ztx
1,稻草人,16,1,2,200,50,5,25,5,3,234|1|1|10/235|1|1|10/236|1|1|10/237|1|1|10/238|1|1|10/239|1|1|10/19|1|1|10/20|1|1|10/17|1|1|10/24|1|1|10/41|1|1|10/47|1|1|10/48|1|1|10/50|1|1|10/56|1|1|10/58|1|1|10/59|1|1|10/65|1|1|10/72|1|1|10/73|1|1|10/,,,,,,,,,
2,森林雪人,17,1,5,400,100,10,35,10,8,234|1|1|10/235|1|1|10/236|1|1|10/237|1|1|10/238|1|1|10/239|1|1|10/34|1|1|10/55|1|1|10/62|1|1|10/65|1|1|10/67|1|1|10/54|1|1|10/24|1|1|10/19|1|1|10/20|1|1|10/51|1|1|10/52|1|1|10/53|1|1|10/,,,,,,,,,
3,半兽勇士,1,1,10,600,170,10,45,11,8,234|1|1|10/235|1|1|10/236|1|1|10/237|1|1|10/238|1|1|10/239|1|1|10/19|1|1|10/20|1|1|10/49|1|1|10/61|1|1|10/60|1|1|10/68|1|1|10/69|1|1|10/76|1|1|10/80|1|1|10/81|1|1|10/84|1|1|10/91|1|1|10/97|1|1|10/98|1|1|10/,2,,,,,,,,
4,骷髅精灵,2,2,15,800,300,5,25,9,15,234|1|1|100/235|1|1|100/236|1|1|100/237|1|1|100/238|1|1|100/239|1|1|100/125|1|1|10/126|1|1|10/127|1|1|10/128|1|1|10/217|1|1|20/240|1|1|20/244|1|1|20/,,8,51,3,1,,,,
5,尸王,7,3,20,1000,500,7,27,18,8,234|10|1|5/235|10|1|5/236|10|1|5/237|8|1|2/238|10|1|5/239|10|1|5/217|1|1|25/124|1|1|25/241|1|1|20/245|1|1|20/,3,,8,1,2,8,62,,
6,邪恶钳虫,6,1,25,1200,800,5,90,26,18,120|1|1|20/121|1|1|20/122|1|1|20/123|1|1|20/178|1|1|20/45|1|1|20/33|1|1|20/36|1|1|20/217|1|1|20/,15,,,7,2,,,,
7,沃玛教主,4,3,30,1500,1100,12,58,45,16,117|1|1|30/118|1|1|30/32|1|1|30/242|1|1|20/246|1|1|20/217|1|1|20/330|1|1|100/,18,,,9,3,19,77,,
8,触龙神,13,1,35,1800,1400,5,137,39,22,135|1|1|20/136|1|1|20/119|1|1|20/217|1|1|20/,15,,,10,3,,,,
9,祖玛教主,11,1,40,2100,1500,5,145,30,30,151|1|1|500/133|1|1|25/137|1|1|500/217|1|1|20/134|1|1|500/179|1|1|20/331|1|1|100/,13,,,15,4,,,,
10,虹魔教主,9,2,45,2500,2000,12,65,33,39,180|1|1|30/181|1|1|30/182|1|1|30/243|1|1|20/247|1|1|20/217|1|1|20/,15,5,152,18,4,,,,
11,赤月恶魔,25,1,50,3000,2300,5,175,47,49,217|1|1|20/234|1|1|20/235|1|1|20/236|1|1|20/237|1|1|20/238|1|1|20/239|1|1|20/183|1|1|20/184|1|1|20/185|1|1|20/186|1|1|20/187|1|1|20/188|1|1|20/,21,,,28,5,,,,
12,黄泉教主,18,3,55,3500,2500,16,72,66,69,260|1|1|20/261|1|1|20/265|1|1|20/266|1|1|20/270|1|1|20/271|1|1|20/217|1|1|20/,33,,,25,5,8,198,,
13,牛魔王,12,1,50,6000,3000,39,255,55,123,217|1|1|20/278|1|1|20/279|1|1|20/248|1|1|20/251|1|1|20/254|1|1|20/,38,,,43,6,,,1,
14,魔龙教主,23,2,80,5000,3000,5,75,92,88,217|1|1|20/280|1|1|500/281|1|1|500/282|1|1|500/278|1|1|20/279|1|1|20/,45,12,178,57,6,,,,
15,弓箭手,3,1,100,60000,30000,500,5000,1050,1070,498|1|1|2/,500,,,480,9,,,10,1|20/4|20/
16,妖之树,5,1,1000,100000,50000,100,10000,10000,10000,,100,100,10000,100,9,100,10000,10,1|1000/
17,白野猪,8,1,200,70000,35000,600,10000,1650,1700,498|1|1|2/,750,,,700,9,,,10,1|20/4|21/
18,虹魔猪卫,10,1,300,80000,40000,700,15000,2250,2330,498|1|1|2/,1000,,,920,9,,,10,1|20/4|22/
19,上古吉兽,14,2,80,15000,6000,10,188,214,205,217|1|1|20/391|1|1|20/392|1|1|20/393|1|1|20/394|1|1|20/395|1|1|20/396|1|1|20/387|1|1|20/388|1|1|20/389|1|1|20/,98,75,551,105,9,,,5,
20,大蜘蛛,15,3,500,100000,50000,,,3450,3590,498|1|1|2/,1500,,,1360,9,900,25000,10,1|20/4|24/
21,摩羯,19,2,400,90000,45000,,,2850,2960,498|1|1|2/,1250,800,20000,1140,9,,,10,1|20/4|23/
22,冰窟卫士,20,2,80,8000,3500,15,177,125,128,217|1|1|20/361|1|1|20/362|1|1|20/,49,15,238,52,7,,,2,
23,大斧兽人,21,1,80,10000,5500,77,398,177,189,217|1|1|20/371|1|1|20/372|1|1|20/377|1|1|20/378|1|1|20/383|1|1|20/384|1|1|20/,61,,,52,8,,,4,
24,花吻蜘蛛,22,1,1000,100000,50000,100,10000,10000,10000,217|1|1|20/,100,100,10000,100,9,100,10000,10,1|1000/
25,小龙,24,3,80,9000,5000,10,125,168,150,217|1|1|20/361|1|1|20/362|1|1|20/363|1|1|500/364|1|1|500/365|1|1|500/366|1|1|1000/,54,,,61,8,54,348,3,
26,暗黑守护神,26,3,240,50000,30000,100,1000,600,570,217|1|1|5/498|1|1|2/491|1|1|5/492|1|1|5/493|1|1|5/494|1|1|5/495|1|1|5/,301,,,280,9,211,1989,9,
27,深渊金仙,27,1,140,22000,15000,270,1010,352,388,217|1|1|20/454|1|1|20/455|1|1|20/456|1|1|30/,131,,,116,9,,,8,
28,主宰教主,28,2,160,25000,18000,100,200,505,489,217|1|1|20/463|1|1|20/464|1|1|20/465|1|1|30/,198,187,1215,221,9,,,9,
29,祖玛卫士,29,,,,,,,,,,,,,,,,,,
30,双头血魔,30,,,,,,,,,,,,,,,,,,
31,双头金刚,31,,,,,,,,,,,,,,,,,,
32,龙,32,3,120,12000,6000,36,128,189,174,217|1|1|20/397|1|1|500/398|1|1|500/399|1|1|500/,77,,,85,9,98,452,4,
33,大封印魔,33,,,,,,,,,,,,,,,,,,
34,巨魔王,34,2,120,20000,12000,100,200,300,318,217|1|1|20/435|1|1|20/436|1|1|20/437|1|1|30/,108,218,852,109,9,,,7,
35,巨鹰,35,1,100,18000,10000,198,708,256,201,217|1|1|20/426|1|1|20/427|1|1|20/428|1|1|30/,98,,,128,9,,,6,
36,祭坛,36,,,,,,,,,,,,,,,,,,
37,祭坛(开启),37,,,,,,,,,,,,,,,,,,
38,蚩尤,38,1,1000,150000,75000,3000,75000,6450,6740,498|1|1|2/,2750,,,2460,9,,,10,1|20/4|29/
39,刑天,39,1,800,130000,65000,2000,55000,5250,5480,498|1|1|2/,2250,,,2020,9,,,10,1|20/4|27/
40,石神,40,1,700,120000,60000,1500,45000,4650,4850,498|1|1|2/,2000,,,1800,9,,,10,1|20/4|26/
41,熔岩魔,41,1,600,110000,55000,1000,35000,4050,4220,498|1|1|2/,1750,,,1580,9,,,10,1|20/4|25/
42,轩辕,42,1,900,140000,70000,2500,65000,5850,6110,498|1|1|2/,2500,,,2240,9,,,10,1|20/4|28/
