id,name,item,d2,a2,b2,c2,e2,hp
1,祈祷,124|125|126|127|128,4,,,,,
2,沃玛,88|142|146|83|102|129|86|131|145,,4,4,4,,
3,祖玛,130|95|96|140|144|103|141|99|100,,6,6,6,,
4,圣战,166|167|168|169,,8,,,,
5,法神,170|171|172|173,,,8,,,
6,天尊,174|175|176|177,,,,8,,
7,记忆,120|121|122|123,,,,,6,
8,赤血,152|153|154|155|156|157,,,,,,80
9,神兵,134|137|151,,4,4,4,,
10,雷霆,257|258|259|260|261,,10,,,,
11,烈焰,262|263|264|265|266,,,10,,,
12,光芒,267|268|269|270|271,,,,10,,
13,利刃,32|117|118|119|133|135|136|178,,8,8,8,,
14,利器,180|181|182,,6,6,6,,
15,城主,341|342,4,,,,4,
16,重装,183|184|185|186|187|188,10,,,,10,
17,神器,280|281|282,,10,10,10,,
18,凤天,278|279,10,,,,10,
19,战神,248|249|250,,10,,,,
20,圣魔,251|252|253,,,10,,,
21,真魂,254|255|256,,,,10,,
22,星王,357|358|359|360|361|362,,12,12,12,,
23,黄金,363|364|365|366,,12,12,12,,
24,装甲,272|273|274|275|276|277,14,,,,14,
25,狂雷,367|368|369|370|371|372,,14,,,,
26,逆火,373|374|375|376|377|378,,,14,,,
27,通云,379|380|381|382|383|384,,,,14,,
28,王者,385|386|387|388|389|390,,16,16,16,,
29,王者之护,391|392|393|394|395|396,16,,,,16,
30,王者之伤,397|398|399,,16,16,16,,
31,天龙,422|423|424|425|426|427,,18,18,18,,
32,天龙劫,428|429|430,18,,,,18,
33,金牛,431|432|433|434|435|436,,20,20,20,,
34,金牛座,437|438|439,20,,,,20,
35,主宰,450|451|452|453|454|455,,22,22,22,,
36,主宰者,456|457|458,22,,,,22,
37,荣耀,459|460|461|462|463|464,,24,24,24,,
38,荣耀官,465|466|467,24,,,,24,
39,劳动,447|448|449,,16,16,16,,
40,特戒未解封,479|480|481|482,,30,30,30,,
41,皓月,521|522|523|524|525|526,,30,30,30,,
42,星空,527|528|529,30,,,,30,
43,热血,531|532|533|534|535|536,,34,34,34,,
44,沸腾,537|538|539,34,,,,34,
45,神龙,560|561|562|563|564|565,,38,38,38,,
46,摆尾,566|567|568,38,,,,38,
47,麒麟,575|576|577|578|579|580,,40,40,40,,
48,凤凰,581|582|583|584|585|586,,40,40,40,,
49,诛仙,587|588|589|590|591|592,,40,40,40,,
50,龙王,593|594|595|596|597|598,,40,40,40,,
51,天神,599|600|601|602|603|604,,40,40,40,,
52,上古,605|606|607|608|609|610,,40,40,40,,
