id,name,picture,job,lvl,type,effect,seat,met
1,强化攻击,1,1,5,14,1,1,
2,强化魔法,11,2,5,16,1,2,
3,强化道术,12,3,5,18,1,3,
4,强化生命,32,,5,11,10,4,
5,强化防御,24,,5,20,1,5,
6,强化魔防,23,,5,22,1,6,
7,防御心法,34,,,19,1,7,
8,魔防心法,35,,,21,1,8,
9,,,,,,,,
10,,,,,,,,
11,攻击BUFF,1,1,5,14,1,1,
12,魔法BUFF,11,2,5,16,1,2,
13,道术BUFF,12,3,5,18,1,3,
14,生命BUFF,32,,5,11,10,4,
15,防御BUFF,24,,5,20,1,6,
16,魔防BUFF,23,,5,22,1,7,
17,法力BUFF,25,,5,12,5,5,
18,,,,,,,,
19,,,,,,,,
20,,,,,,,,
21,行战攻击,1,1,5,54,1,1,
22,行战魔法,11,2,5,56,1,2,
23,行战道术,12,3,5,58,1,3,
24,行战生命,32,,5,51,10,4,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,金天赋,,,,14,1,9,1
32,木天赋,,,,16,1,10,1
33,水天赋,,,,18,1,11,1
34,火天赋,,,,20,1,12,1
35,土天赋,,,,22,1,13,1
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,金钟罩,,,,10,,14,
41,铁布衫,,,,12,,15,
