id,name,lvl,money,rep,a2,b2,c2,d2,e2,met,a1,b1,c1,d1,e1
1,筑基·一阶,1,100000,100,1,1,,,,,,,,,
2,筑基·二阶,10,500000,1000,1,1,1,,,,,,,,
3,筑基·三阶,20,1000000,2000,2,2,2,1,,,,,,,
4,筑基·四阶,30,2000000,5000,3,3,3,2,1,,,,,,
5,筑基·五阶,40,3000000,10000,4,4,4,3,2,,,,,,
6,开光·一阶,50,4000000,15000,5,5,5,4,3,,,,,,
7,开光·二阶,60,5000000,20000,6,6,6,5,4,,,,,,
8,开光·三阶,10,10000000,50000,7,7,7,6,5,1,1,1,1,1,1
9,开光·四阶,20,13500000,80000,9,9,9,7,6,1,1,1,1,1,1
10,开光·五阶,30,17000000,110000,11,11,11,8,7,1,1,1,1,1,1
11,融合·一阶,40,20500000,140000,13,13,13,9,8,1,1,1,1,1,1
12,融合·二阶,50,24000000,170000,15,15,15,10,9,1,1,1,1,1,1
13,融合·三阶,60,27500000,200000,17,17,17,11,10,1,1,1,1,1,1
14,融合·四阶,70,31000000,230000,19,19,19,12,11,1,1,1,1,1,1
15,融合·五阶,80,35000000,260000,21,21,21,13,12,1,1,1,1,1,1
16,心动·一阶,10,40000000,290000,23,23,23,14,13,2,2,2,2,2,2
17,心动·二阶,20,50000000,320000,26,26,26,15,14,2,2,2,2,2,2
18,心动·三阶,30,60000000,350000,29,29,29,16,15,2,2,2,2,2,2
19,心动·四阶,40,70000000,380000,32,32,32,17,16,2,2,2,2,2,2
20,心动·五阶,50,80000000,410000,35,35,35,18,17,2,2,2,2,2,2
21,金丹·一阶,60,90000000,440000,38,38,38,19,18,2,2,2,2,2,2
22,金丹·二阶,70,100000000,470000,41,41,41,20,19,2,2,2,2,2,2
23,金丹·三阶,80,110000000,500000,44,44,44,21,20,2,2,2,2,2,2
24,金丹·四阶,90,120000000,530000,47,47,47,22,21,2,2,2,2,2,2
25,金丹·五阶,100,130000000,560000,50,50,50,23,22,2,2,2,2,2,2
26,元婴·一阶,10,140000000,590000,53,53,53,24,23,3,3,3,3,3,3
27,元婴·二阶,20,150000000,620000,57,57,57,25,24,3,3,3,3,3,3
28,元婴·三阶,30,160000000,650000,61,61,61,26,25,3,3,3,3,3,3
29,元婴·四阶,40,170000000,680000,65,65,65,27,26,3,3,3,3,3,3
30,元婴·五阶,50,180000000,710000,69,69,69,28,27,3,3,3,3,3,3
31,出窍·一阶,60,190000000,740000,73,73,73,29,28,3,3,3,3,3,3
32,出窍·二阶,70,200000000,770000,77,77,77,30,29,3,3,3,3,3,3
33,出窍·三阶,80,210000000,800000,81,81,81,31,30,3,3,3,3,3,3
34,出窍·四阶,90,220000000,830000,85,85,85,32,31,3,3,3,3,3,3
35,出窍·五阶,100,230000000,860000,89,89,89,33,32,3,3,3,3,3,3
36,分神·一阶,110,240000000,890000,93,93,93,34,33,3,3,3,3,3,3
37,分神·二阶,120,250000000,920000,97,97,97,35,34,3,3,3,3,3,3
38,分神·三阶,10,260000000,950000,101,101,101,36,35,4,4,4,4,4,4
39,分神·四阶,20,270000000,980000,106,106,106,37,36,4,4,4,4,4,4
40,分神·五阶,30,280000000,1010000,111,111,111,38,37,4,4,4,4,4,4
41,合体·一阶,40,290000000,1040000,116,116,116,39,38,4,4,4,4,4,4
42,合体·二阶,50,300000000,1070000,121,121,121,40,39,4,4,4,4,4,4
43,合体·三阶,60,310000000,1100000,126,126,126,41,40,4,4,4,4,4,4
44,合体·四阶,70,320000000,1130000,131,131,131,42,41,4,4,4,4,4,4
45,合体·五阶,80,330000000,1160000,136,136,136,43,42,4,4,4,4,4,4
46,洞虚·一阶,90,340000000,1190000,141,141,141,44,43,4,4,4,4,4,4
47,洞虚·二阶,100,350000000,1220000,146,146,146,45,44,4,4,4,4,4,4
48,洞虚·三阶,110,360000000,1250000,151,151,151,46,45,4,4,4,4,4,4
49,洞虚·四阶,120,370000000,1280000,156,156,156,47,46,4,4,4,4,4,4
50,洞虚·五阶,130,380000000,1310000,161,161,161,48,47,4,4,4,4,4,4
51,大乘·一阶,140,390000000,1340000,166,166,166,49,48,4,4,4,4,4,4
52,大乘·二阶,10,400000000,1370000,171,171,171,50,49,5,5,5,5,5,5
53,大乘·三阶,20,410000000,1400000,177,177,177,51,50,5,5,5,5,5,5
54,大乘·四阶,30,420000000,1430000,183,183,183,52,51,5,5,5,5,5,5
55,大乘·五阶,40,430000000,1460000,189,189,189,53,52,5,5,5,5,5,5
56,渡劫·一阶,50,440000000,1490000,195,195,195,54,53,5,5,5,5,5,5
57,渡劫·二阶,60,450000000,1520000,201,201,201,55,54,5,5,5,5,5,5
58,渡劫·三阶,70,460000000,1550000,207,207,207,56,55,5,5,5,5,5,5
59,渡劫·四阶,80,470000000,1580000,213,213,213,57,56,5,5,5,5,5,5
60,渡劫·五阶,90,480000000,1610000,219,219,219,58,57,5,5,5,5,5,5
61,飞升·一阶,100,490000000,1640000,225,225,225,59,58,5,5,5,5,5,5
62,飞升·二阶,110,500000000,1670000,231,231,231,60,59,5,5,5,5,5,5
63,飞升·三阶,120,510000000,1700000,237,237,237,61,60,5,5,5,5,5,5
64,飞升·四阶,130,520000000,1730000,243,243,243,62,61,5,5,5,5,5,5
65,飞升·五阶,140,530000000,1760000,249,249,249,63,62,5,5,5,5,5,5
66,散仙·一段,150,540000000,1790000,255,255,255,64,63,5,5,5,5,5,5
67,散仙·二段,160,550000000,1820000,261,261,261,65,64,5,5,5,5,5,5
68,散仙·三段,10,560000000,1850000,267,267,267,66,65,6,6,6,6,6,6
69,散仙·四段,20,570000000,1880000,273,273,273,67,66,6,6,6,6,6,6
70,散仙·五段,30,580000000,1910000,279,279,279,68,67,6,6,6,6,6,6
71,散仙·六段,40,590000000,1940000,285,285,285,69,68,6,6,6,6,6,6
72,散仙·七段,50,600000000,1970000,291,291,291,70,69,6,6,6,6,6,6
73,散仙·八段,60,610000000,2000000,297,297,297,71,70,6,6,6,6,6,6
74,散仙·九段,70,620000000,2030000,303,303,303,72,71,6,6,6,6,6,6
75,散仙·十段,80,630000000,2060000,309,309,309,73,72,6,6,6,6,6,6
