id,name,reward,quantity,gold,iron,yuan,capacity_gold
0,生命药水 ×10,potions,10,100,0,0,0
1,黑铁 ×10,iron,10,250,0,0,0
2,背包扩容12格,capacity,12,500,0,0,10
3,符文 ×1,runes,1,0,0,30,0
4,金币 ×500,gold,500,0,0,20,0
5,符文 1#,rune1,1,0,0,100,0
6,符文 10#,rune10,1,0,0,2000,0
7,传说矿石 ×100,ore,100,0,0,200,0
8,龙珠1★ ×10,ball1,10,0,0,300,0
9,龙珠2★ ×10,ball2,10,0,0,600,0
10,龙珠3★ ×10,ball3,10,0,0,900,0
11,龙珠4★ ×10,ball4,10,0,0,1200,0
12,龙珠5★ ×10,ball5,10,0,0,1500,0
13,龙珠6★ ×10,ball6,10,0,0,1800,0
14,龙珠7★ ×10,ball7,10,0,0,2100,0
15,龙珠8★ ×10,ball8,10,0,0,2400,0
16,龙珠9★ ×10,ball9,10,0,0,2700,0
17,符文 13#,rune13,1,0,0,20000,0
