id,name,job,slot,kind,target,cooldown,mana,damage_pct,damage_per_level,heal_pct,heal_per_level,passive_damage_pct,passive_defense_pct,max_level,train_gold,train_iron,school
1,战士斩击,0,0,active,enemy,4,18,100,12,0,0,0,0,20,120,2,attack
2,战士坚韧,0,1,passive,self,0,0,0,0,0,0,2,0,20,100,2,attack
3,战士破甲,0,2,active,enemy,7,26,150,18,0,0,0,0,20,160,3,attack
4,战士铁壁,0,3,passive,self,0,0,0,0,0,0,0,2,20,100,2,defense
5,战士横扫,0,4,active,enemy,10,36,210,24,0,0,0,0,20,220,4,attack
6,战士狂热,0,5,passive,self,0,0,0,0,0,0,2,1,20,180,3,attack
7,战士震荡,0,6,active,enemy,14,48,290,30,0,0,0,0,20,300,5,attack
8,战士战意,0,7,passive,self,0,0,0,0,0,0,3,3,20,260,5,attack
9,法师火球,1,0,active,enemy,4,18,130,15,0,0,0,0,20,120,2,magic
10,法师冥想,1,1,passive,self,0,0,0,0,0,0,2,0,20,100,2,magic
11,法师冰锥,1,2,active,enemy,7,26,180,20,0,0,0,0,20,160,3,magic
12,法师护盾,1,3,passive,self,0,0,0,0,0,0,0,2,20,100,2,magic
13,法师陨星,1,4,active,enemy,10,36,250,26,0,0,0,0,20,220,4,magic
14,法师专注,1,5,passive,self,0,0,0,0,0,0,2,1,20,180,3,magic
15,法师雷暴,1,6,active,enemy,14,48,330,32,0,0,0,0,20,300,5,magic
16,法师奥术,1,7,passive,self,0,0,0,0,0,0,3,3,20,260,5,magic
17,道士灵击,2,0,active,enemy,4,18,90,10,8,1,0,0,20,120,2,tao
18,道士回春,2,1,passive,self,0,0,0,0,0,0,1,1,20,100,2,tao
19,道士毒咒,2,2,active,enemy,7,26,135,16,12,1,0,0,20,160,3,tao
20,道士护体,2,3,passive,self,0,0,0,0,0,0,0,2,20,100,2,tao
21,道士神罚,2,4,active,enemy,10,36,190,22,16,1,0,0,20,220,4,tao
22,道士通灵,2,5,passive,self,0,0,0,0,0,0,2,1,20,180,3,tao
23,道士天谴,2,6,active,enemy,14,48,260,28,20,2,0,0,20,300,5,tao
24,道士天佑,2,7,passive,self,0,0,0,0,0,0,3,3,20,260,5,tao
