index,file,size,used_by_funcs,module_guess,mainscreen_hit,hit_score
00000,,,0x47deb0,,,
00001,00001.png,42x37,,,,
00002,00002.png,42x37,0x47acb6; 0x4aadc4,通用底图(包裹格背景/界面底),,
00003,00003.png,42x37,,,,
00004,00004.png,42x37,0x47acb6,通用底图2,,
00005,00005.png,42x37,0x49a213,突破/升级面板按钮,,
00006,00006.png,539x26,0x4982a1; 0x49e364; 0x4b2b51; 0x4b470c; 0x4b6dbd; 0x4b9d32; 0x4ba1c3; 0x4baf4d; 0x4bcd39; 0x4bfe93; 0x4c506d; 0x4dc39b; 0x4e000a; 0x4e7598; 0x4fc956; 0x503397; 0x50f56d,通用窗口框/关闭钮(15+个窗口在用),,
00007,00007.png,539x26,0x42899d,?,,
00008,00008.png,539x26,0x503397,焦点标志(列表),,
00009,00009.jpg,168x250,0x4302ad; 0x4491f2; 0x4b4650; 0x4e6de0; 0x4fc773,主角状态面板/城池信息(等级/生命/法力/攻击),,
00010,00010.jpg,168x250,0x4302ad; 0x4b4650,主角状态面板(与9成对),,
00011,00011.png,232x54,0x474934,,,
00012,00012.png,232x54,0x474934,,,
00013,00013.png,4x4,,,,
00014,00014.png,232x54,0x474934,,,
00015,00015.png,232x54,0x474934,,,
00016,00016.png,4x4,,,,
00017,00017.png,14x14,0x4b2750,?,281),0.9
00018,00018.png,17x17,,,,
00019,00019.png,14x14,0x4d4c47,格子相关,,
00020,00020.png,14x14,,,,
00021,00021.png,27x33,,,,
00022,00022.png,37x33,,,,
00023,00023.png,49x33,,,,
00024,00024.png,61x33,,,,
00025,00025.png,73x33,,,,
00026,00026.png,85x33,,,,
00027,00027.png,4x4,,,,
00028,00028.png,4x4,,,,
00029,00029.png,4x4,,,,
00030,00030.png,4x4,,,,
00031,00031.png,27x33,,,,
00032,00032.png,37x33,,,,
00033,00033.png,49x33,,,,
00034,00034.png,61x33,,,,
00035,00035.png,73x33,,,,
00036,00036.png,85x33,,,,
00037,00037.png,4x4,,,,
00038,00038.png,4x4,,,,
00039,00039.png,4x4,,,,
00040,00040.png,4x4,,,,
00041,00041.png,32x4,0x4b0f0e,列表条,,
00042,00042.png,32x4,0x4b0f0e,列表条,,
00043,00043.jpg,62x60,,,126),1.0
00044,00044.jpg,62x60,,,,
00045,00045.jpg,62x60,,,,
00046,00046.jpg,62x60,,,,
00047,00047.jpg,62x60,,,,
00048,00048.jpg,62x60,,,,
00049,00049.png,4x4,,,,
00050,00050.png,4x4,,,,
00051,00051.png,12x14,,,,
00052,00052.png,12x14,,,,
00053,00053.png,12x14,,,,
00054,00054.png,12x14,,,,
00055,00055.png,4x4,,,,
00056,00056.png,4x4,,,,
00057,00057.png,4x4,,,,
00058,00058.png,4x4,,,,
00059,00059.png,4x4,,,,
00060,00060.png,4x4,,,,
00061,00061.png,72x70,0x4c506d,排行榜行,,
00062,00062.png,72x70,0x4c506d,排行榜行,,
00063,00063.png,72x70,0x4b6511; 0x4bc48d; 0x4bf5fb; 0x4c506d; 0x4d9f83; 0x4df974,排行榜/列表行背景,,
00064,00064.png,72x70,0x4c44ad; 0x4c4e56; 0x4c506d,排行榜行(挑战),,
00065,00065.png,4x4,,,,
00066,00066.png,4x4,,,,
00067,00067.png,4x4,,,,
00068,00068.png,4x4,,,,
00069,00069.png,4x4,,,,
00070,00070.png,4x4,,,,
00071,00071.gif,544x195,,,,
00072,00072.gif,544x195,,,,
00073,00073.jpg,170x250,,,,
00074,00074.png,4x4,,,,
00075,00075.png,4x4,,,,
00076,00076.png,4x4,,,,
00077,00077.png,4x4,,,,
