id,name,desc,metric,target,source_target
ACH_FIRST_RETREAT,初窥仙门,完成首次闭关修行,SPECIAL_RETREAT,1,1
ACH_QI_REFINING_12,炼气圆满,修炼至炼气十二层,STAT_CULTIVATION_STAGE,12,12
ACH_FOUNDATION,道基初成,成功筑基,STAT_CULTIVATION_STAGE,13,13
ACH_GOLDEN_CORE,一粒金丹,修炼至金丹境,STAT_CULTIVATION_STAGE,25,25
ACH_NASCENT_SOUL,元婴出窍,修炼至元婴境,STAT_CULTIVATION_STAGE,37,37
ACH_SPIRIT_TRANSFORMATION,神意通明,修炼至化神境,STAT_CULTIVATION_STAGE,49,49
ACH_VOID_REFINING,炼虚合道,修炼至炼虚境,STAT_CULTIVATION_STAGE,61,61
ACH_BODY_INTEGRATION,天人合一,修炼至合体境,STAT_CULTIVATION_STAGE,73,73
ACH_MAHAYANA,大乘之境,修炼至大乘境,STAT_CULTIVATION_STAGE,85,85
ACH_TRIBULATION_12,渡劫圆满,修炼至渡劫十二层,STAT_CULTIVATION_STAGE,108,108
ACH_FIRST_KILL,初试锋芒,击败首名敌人,STAT_TOTAL_KILLS,1,1
ACH_KILL_100,百战修士,累计击败100名敌人,STAT_TOTAL_KILLS,100,100
ACH_KILL_1000,千敌辟易,累计击败1000名敌人,STAT_TOTAL_KILLS,1000,1000
ACH_ALL_WILD_ENEMIES,踏遍山河,收录30种野外敌人,STAT_UNIQUE_WILD_ENEMIES,30,30
ACH_ALL_DANGER_ENEMIES,险地无惧,收录30种险地敌人,STAT_UNIQUE_DANGER_ENEMIES,30,30
ACH_FIRST_BOSS,初破绝境,击败首个绝境首领,STAT_UNIQUE_BOSSES,1,1
ACH_THREE_BOSSES,三劫已过,击败3个不同绝境首领,STAT_UNIQUE_BOSSES,3,3
ACH_ALL_MAJOR_BOSSES,八荒俯首,击败八荒全部8位大敌,STAT_MAJOR_BOSSES_DEFEATED,8,8
ACH_TRIBULATION_EMISSARY,雷劫之后,击败雷劫使者,SPECIAL_EMISSARY,1,1
ACH_FISHING_FIVE,愿者上钩,完成5种垂钓项目,STAT_UNIQUE_FISHING,5,5
ACH_HERBALISM_FIVE,百草皆识,完成5种采药项目,STAT_UNIQUE_HERBALISM,5,5
ACH_MINING_FIVE,点石寻灵,完成5种采矿项目,STAT_UNIQUE_MINING,5,5
ACH_BREWING_FIVE,酒中仙,完成5种酿造项目,STAT_UNIQUE_BREWING,5,5
ACH_FORGING_FIVE,百炼成器,完成5种炼器项目,STAT_UNIQUE_FORGING,5,5
ACH_ALCHEMY_FIVE,丹道有成,完成5种炼丹项目,STAT_UNIQUE_ALCHEMY,5,5
ACH_TALISMAN_FIVE,符通天地,完成5种符箓项目,STAT_UNIQUE_TALISMAN,5,5
ACH_FORMATION_FIVE,阵演乾坤,完成5种阵法项目,STAT_UNIQUE_FORMATION,5,5
ACH_FULL_EQUIPMENT,法宝加身,装备全部七个部位,SPECIAL_EQUIPMENT,7,8
ACH_HIGHEST_RARITY_ITEM,天赐奇珍,获得一件绝品物品,SPECIAL_RARITY,1,1
ACH_MARKET_COLLECTOR,坊市常客,购买10种不同坊市商品,STAT_UNIQUE_MARKET_PURCHASES,10,10
ACH_ELDERS_GUIDANCE,老人之言,完成全部主线任务,SPECIAL_QUEST,1,1
ACH_FIRST_REINCARNATION,再世为人,完成首次轮回,STAT_REINCARNATION_COUNT,1,1
ACH_KARMA_APTITUDES,因果不空,四项因果资质均提升至少1次,SPECIAL_APTITUDES,4,4
