id,name,req,power,reward,image,sect
taicang_outer,外门师兄·陆青,13,150.0,70,arena_taicang_outer.png,righteous
taicang_inner,内门执剑·苏澄,25,430.0,180,arena_taicang_inner.png,righteous
taicang_true,真传弟子·顾玄,49,1450.0,480,arena_taicang_true.png,righteous
taicang_elder,护法长老·清衡,73,3900.0,1200,arena_taicang_elder.png,righteous
taicang_master,太清掌教·玄微,97,9200.0,3000,arena_taicang_master.png,righteous
youming_outer,外坛弟子·赤枭,13,165.0,80,arena_youming_outer.png,demonic
youming_inner,内坛使者·鬼鸦,25,470.0,200,arena_youming_inner.png,demonic
youming_true,血衣圣子·罗刹,49,1550.0,520,arena_youming_true.png,demonic
youming_elder,幽冥长老·无魄,73,4150.0,1300,arena_youming_elder.png,demonic
youming_master,幽冥教主·夜皇,97,9800.0,3200,arena_youming_master.png,demonic
