id,gather,atk,artxp,qi,craft,defense,hp,dodge,regen,reduction,enemy_interval,opening,swift,guard,armor,heal,revive
brewing_bamboo_dew,0.1,,,,,,,,,,,,,,,,
brewing_sunset_wine,,0.12,,,,,,,,,,,,,,,
brewing_flower_wine,,,0.15,,,,,,,,,,,,,,
brewing_pine_rice_wine,,,,0.15,,,,,,,,,,,,,
brewing_green_plum,,,,,0.1,,,,,,,,,,,,
brewing_frost_wine,,,,,,0.12,,,,,,,,,,,
brewing_solar_wine,,0.18,,,,,,,,,,,,,,,
brewing_moon_osmanthus,,,0.12,,,,,,,,,,,,,,
brewing_dream_wine,,,,0.25,,,,,,,,,,,,,
brewing_ninefold_wine,,0.1,,0.35,,0.1,,,,,,,,,,,
formation_spirit_gathering,,,,0.05,,,,,,,,,,,,,
formation_golden_light,,,,,,0.04,0.04,,,,,,,,,,
formation_mist,,,,,0.04,,,0.02,,,,,,,,,
formation_minor_spirit_gathering,,,,0.08,,,,,0.0001,,,,,,,,
formation_vitality,,,,,,,0.1,,0.00025,,,,,,,,
formation_sharp,,0.09,,,,,,,,,,,,,,,
formation_armor,,,,,,0.12,,,,,,,,,,,
formation_five_elements,,,,,,,,,,0.06,,,,,,,
formation_binding,,,,,,,,,,,0.14,,,,,,
formation_stars,,0.05,0.06,0.1,,0.05,,,,,,,,,,,
talisman_thunder,,,,,,,,,,,,0.35,,,,,
talisman_blaze,,,,,,,,,,,,0.25,,,,,
talisman_fire,,,,,,,,,,,,0.18,,,,,
talisman_demonbane,,,,,,,,,,,,0.15,,,,,
talisman_dash,,,,,,,,,,,,,20,,,,
talisman_swiftness,,,,,,,,,,,,,10,,,,
talisman_guard,,,,,,,,,,,,,,0.45,,,
talisman_golden_armor,,,,,,,,,,,,,,,0.7,,
talisman_heal,,,,,,,,,,,,,,,,0.25,
talisman_rebirth,,,,,,,,,,,,,,,,,0.5
