id,map,name,image,hp,atk,def,xp,stone,mat,interval,drop,scale
0,0,竹灵,wild_qingzhu_bamboo_spirit.png,42.0,5.0,0.0,16,4,1,1.85,drop_0,0.9
1,0,青羽灵雀,wild_qingzhu_sparrow.png,50.0,6.0,0.0,21,5,1,1.55,drop_1,1.08
2,0,翠节竹傀,wild_qingzhu_bamboo_puppet.png,65.0,7.0,1.0,25,6,2,2.0,drop_2,1.26
3,1,灵纹妖狼,wild_wuyin_wolf.png,115.0,11.0,2.0,37,8,2,1.55,drop_3,0.97
4,1,雾隐毒蛛,wild_wuyin_spider.png,105.0,13.0,1.0,40,9,2,1.3,drop_4,1.15
5,1,涧水幽猿,wild_wuyin_ape.png,150.0,14.0,3.0,46,10,3,1.8,drop_5,1.33
6,2,黑风散修,wild_poshan_rogue.png,250.0,20.0,5.0,68,14,3,1.35,drop_6,1.04
7,2,祠中邪傀,wild_poshan_puppet.png,290.0,18.0,7.0,75,15,4,1.7,drop_7,1.22
8,2,食煞妖鸦,wild_poshan_crow.png,220.0,23.0,4.0,73,16,3,1.2,drop_8,1.4
9,3,火纹岩蜥,wild_chiyan_lizard.png,410.0,25.0,7.0,95,22,5,1.4,drop_9,1.11
10,3,熔岩石傀,wild_chiyan_golem.png,520.0,27.0,11.0,118,27,6,1.65,drop_10,1.29
11,3,赤焰妖将,wild_chiyan_general.png,620.0,31.0,10.0,145,34,7,1.2,drop_11,1.4700000000000002
12,4,赤尾灵狐,wild_luoxia_fox.png,760.0,36.0,12.0,175,39,8,1.25,drop_12,1.1800000000000002
13,4,霞羽灵鹤,wild_luoxia_crane.png,690.0,41.0,9.0,185,42,8,1.05,drop_13,1.36
14,4,丹砂石怪,wild_luoxia_rock.png,940.0,38.0,17.0,205,46,10,1.55,drop_14,1.54
15,5,月纹水鹿,wild_mirror_moon_deer.png,1280.0,54.0,18.0,270,56,11,1.3,drop_15,1.25
16,5,银鳞灵鲤,wild_mirror_moon_carp.png,1120.0,60.0,15.0,280,60,11,1.05,drop_16,1.43
17,5,湖心蚌妖,wild_mirror_moon_clam.png,1580.0,50.0,27.0,310,66,13,1.65,drop_17,1.6099999999999999
18,6,青藤灵猿,wild_cangwu_ape.png,2350.0,82.0,30.0,470,92,17,1.25,drop_18,1.32
19,6,木甲山魈,wild_cangwu_shanxiao.png,2850.0,78.0,40.0,510,98,19,1.5,drop_19,1.5
20,6,苍梧树灵,wild_cangwu_tree_spirit.png,3200.0,75.0,45.0,545,105,21,1.7,drop_20,1.6800000000000002
21,7,沙行妖蜥,wild_quicksand_lizard.png,4100.0,118.0,48.0,720,135,25,1.15,drop_21,1.3900000000000001
22,7,驼铃游魂,wild_quicksand_ghost.png,3650.0,132.0,42.0,750,142,24,1.0,drop_22,1.57
23,7,黄沙刀客,wild_quicksand_blade.png,4550.0,126.0,55.0,805,150,27,1.25,drop_23,1.75
24,8,雪尾灵貂,wild_cold_pine_marten.png,6500.0,170.0,65.0,1080,190,32,0.95,drop_24,1.46
25,8,冰针松妖,wild_cold_pine_spirit.png,7800.0,158.0,84.0,1160,205,36,1.5,drop_25,1.64
26,8,寒谷剑修,wild_cold_pine_swordsman.png,7100.0,185.0,72.0,1210,218,35,1.05,drop_26,1.8199999999999998
27,9,星纹甲虫,wild_starfall_beetle.png,10200.0,230.0,105.0,1550,270,43,1.2,drop_27,1.5300000000000002
28,9,陨铁傀儡,wild_starfall_golem.png,12800.0,218.0,135.0,1680,292,49,1.55,drop_28,1.7100000000000002
29,9,逐星妖狼,wild_starfall_wolf.png,9400.0,255.0,92.0,1620,285,45,0.95,drop_29,1.8900000000000001
30,10,残剑怨灵,danger_sword_wraith.png,780.0,38.0,12.0,190,42,8,1.25,drop_30,1.05
31,10,铁衣剑傀,danger_sword_puppet.png,920.0,36.0,17.0,215,46,9,1.55,drop_31,1.25
32,10,噬剑妖鸦,danger_sword_crow.png,700.0,43.0,10.0,205,48,8,1.05,drop_32,1.4500000000000002
33,11,紫瘴毒蟾,danger_poison_toad.png,1180.0,52.0,16.0,285,58,11,1.35,drop_33,1.1500000000000001
34,11,腐藤树妖,danger_poison_tree.png,1420.0,48.0,22.0,310,62,13,1.7,drop_34,1.35
