id,recipe,item,count
0,brewing_bamboo_dew,dew_grass,2
1,brewing_bamboo_dew,stones,1
2,brewing_sunset_wine,sun_heart,1
3,brewing_sunset_wine,stones,2
4,brewing_flower_wine,centennial_dew,1
5,brewing_flower_wine,sun_flower,1
6,brewing_flower_wine,stones,4
7,brewing_pine_rice_wine,clearheart_grass,2
8,brewing_pine_rice_wine,stones,4
9,brewing_green_plum,spirit_flower,2
10,brewing_green_plum,moon_carp,1
11,brewing_green_plum,stones,5
12,brewing_frost_wine,silver_fish,1
13,brewing_frost_wine,cold_marrow,1
14,brewing_frost_wine,stones,6
15,brewing_solar_wine,sun_flower,2
16,brewing_solar_wine,blood_ginseng,1
17,brewing_solar_wine,stones,8
18,brewing_moon_osmanthus,moon_ganoderma,2
19,brewing_moon_osmanthus,moon_carp,1
20,brewing_moon_osmanthus,stones,10
21,brewing_dream_wine,nineleaf_flower,1
22,brewing_dream_wine,dream_koi,1
23,brewing_dream_wine,stones,14
24,brewing_ninefold_wine,dragon_carp,1
25,brewing_ninefold_wine,nineleaf_flower,1
26,brewing_ninefold_wine,stones,20
27,forging_mystic_bracers,mystic_iron,3
28,forging_mystic_bracers,mystic_iron_essence,1
29,forging_cloud_robe,star_silver,2
30,forging_cloud_robe,spirit_jade,2
31,forging_cloud_robe,stones,8
32,forging_white_jade_crown,flawless_jade,1
33,forging_white_jade_crown,star_silver,1
34,forging_white_jade_crown,stones,10
35,forging_spirit_amulet,refined_red_copper,2
36,forging_spirit_amulet,violet_crystal,1
37,forging_spirit_amulet,stones,12
38,forging_cosmos_ring,violet_crystal,2
39,forging_cosmos_ring,star_silver,2
40,forging_cosmos_ring,cloud_pearl,1
41,forging_cosmos_ring,stones,14
42,forging_turtle_armor,cold_iron,4
43,forging_turtle_armor,jade_crab,1
44,forging_turtle_armor,stones,18
45,forging_thunder_sword,thunder_gold,3
46,forging_thunder_sword,violet_vine,1
47,forging_thunder_sword,stones,22
48,forging_primordial_robe,primordial_marrow,2
49,forging_primordial_robe,nineleaf_flower,1
50,forging_primordial_robe,stones,30
51,forging_red_copper_sword,red_copper,4
52,forging_red_copper_bracers,red_copper,5
53,forging_red_copper_ring,red_copper,3
54,forging_mystic_iron_sword,mystic_iron,5
55,forging_mystic_iron_sword,stones,2
56,forging_mystic_iron_armor,mystic_iron,6
57,forging_mystic_iron_armor,stones,2
58,forging_mystic_iron_boots,mystic_iron,4
59,forging_mystic_iron_boots,stones,2
60,forging_spirit_jade_crown,spirit_jade,4
61,forging_spirit_jade_crown,stones,4
62,forging_spirit_jade_amulet,spirit_jade,5
63,forging_spirit_jade_amulet,stones,4
64,forging_spirit_jade_ring,spirit_jade,4
65,forging_spirit_jade_ring,stones,4
66,forging_azure_stone_sword,azure_stone,5
67,forging_azure_stone_sword,stones,8
68,forging_azure_stone_armor,azure_stone,6
69,forging_azure_stone_armor,stones,8
70,forging_azure_stone_bracers,azure_stone,4
71,forging_azure_stone_bracers,stones,8
72,forging_refined_copper_blade,refined_red_copper,3
73,forging_refined_copper_blade,red_copper_essence,1
74,forging_refined_copper_blade,stones,12
75,forging_refined_copper_crown,refined_red_copper,5
76,forging_refined_copper_crown,stones,12
77,forging_refined_copper_ring,refined_red_copper,4
78,forging_refined_copper_ring,stones,12
79,forging_cold_iron_sword,cold_iron,4
80,forging_cold_iron_sword,stones,16
81,forging_cold_iron_armor,cold_iron,5
82,forging_cold_iron_armor,stones,16
83,forging_cold_iron_boots,cold_iron,4
84,forging_cold_iron_boots,stones,16
85,forging_star_silver_sword,star_silver,4
86,forging_star_silver_sword,stones,20
87,forging_star_silver_crown,star_silver,5
88,forging_star_silver_crown,stones,20
89,forging_star_silver_amulet,star_silver,4
90,forging_star_silver_amulet,stones,20
91,forging_violet_crystal_sword,violet_crystal,4
92,forging_violet_crystal_sword,stones,24
93,forging_violet_crystal_bracers,violet_crystal,5
94,forging_violet_crystal_bracers,stones,24
95,forging_violet_crystal_ring,violet_crystal,4
96,forging_violet_crystal_ring,stones,24
97,forging_thunder_gold_sword,thunder_gold,3
98,forging_thunder_gold_sword,stones,30
99,forging_thunder_gold_armor,thunder_gold,4
100,forging_thunder_gold_armor,stones,30
101,forging_thunder_gold_boots,thunder_gold,3
102,forging_thunder_gold_boots,stones,30
103,forging_primordial_sword,primordial_marrow,3
104,forging_primordial_sword,stones,40
105,forging_primordial_armor,primordial_marrow,4
106,forging_primordial_armor,stones,40
107,forging_primordial_ring,primordial_marrow,3
108,forging_primordial_ring,stones,40
109,alchemy_heal_pill,dew_grass,3
110,alchemy_heal_pill,stones,5
111,alchemy_qi_pill,dew_grass,2
112,alchemy_qi_pill,sun_flower,1
113,alchemy_qi_pill,stones,8
114,alchemy_origin_pill,spirit_crucian,1
115,alchemy_origin_pill,stream_dew,1
116,alchemy_origin_pill,stones,9
117,alchemy_blood_pill,blood_ginseng,2
118,alchemy_blood_pill,redtail_loach,1
119,alchemy_blood_pill,stones,10
120,alchemy_body_pill,cold_iron,1
121,alchemy_body_pill,blood_ginseng,1
122,alchemy_body_pill,stones,12
123,alchemy_metal_pill,star_silver,1
124,alchemy_metal_pill,spirit_flower,2
125,alchemy_metal_pill,stones,14
126,alchemy_spirit_pill,clearheart_grass,2
127,alchemy_spirit_pill,moon_ganoderma,1
128,alchemy_spirit_pill,stones,16
129,alchemy_longevity_pill,frost_lotus,1
130,alchemy_longevity_pill,nineleaf_flower,1
131,alchemy_longevity_pill,stones,20
132,alchemy_insight_pill,moon_ganoderma,2
133,alchemy_insight_pill,violet_vine,1
134,alchemy_insight_pill,stones,24
135,alchemy_ninefold_pill,primordial_marrow,1
136,alchemy_ninefold_pill,dragon_carp,1
137,alchemy_ninefold_pill,stones,32
138,talisman_fire,sun_flower,1
139,talisman_fire,stones,2
140,talisman_guard,mystic_shell,1
141,talisman_guard,stones,3
142,talisman_swiftness,cloud_scale,1
143,talisman_swiftness,stones,4
144,talisman_dash,clearheart_grass,1
145,talisman_dash,green_scale_crucian,1
146,talisman_dash,stones,5
147,talisman_heal,blood_ginseng,1
148,talisman_heal,stones,6
149,talisman_golden_armor,refined_red_copper,1
150,talisman_golden_armor,stones,8
151,talisman_blaze,sun_flower,2
152,talisman_blaze,violet_vine,1
153,talisman_blaze,stones,10
154,talisman_demonbane,ancient_yin_lingzhi,1
155,talisman_demonbane,violet_crystal,1
156,talisman_demonbane,stones,12
157,talisman_thunder,thunder_gold,1
158,talisman_thunder,violet_vine,2
159,talisman_thunder,stones,16
160,talisman_rebirth,primordial_marrow,1
161,talisman_rebirth,nineleaf_flower,1
162,talisman_rebirth,stones,24
163,formation_spirit_gathering,mystic_iron,3
