id,mode,ordinal,name,req,image,desc,first_enemy,enemy_count,pill
0,wild,0,青竹岭,1,qingzhu_ridge.png,山风清浅，灵竹成精。适合初入仙途者。,0,3,
1,wild,1,雾隐涧,4,wuyin_gorge.png,雾气遮蔽视线，妖物会带来更好的装备。,3,3,
2,wild,2,破山祠,7,poshan_shrine.png,废弃山祠盘踞着邪修与傀儡，战斗收益较为丰厚。,6,3,
3,wild,3,赤焰洞,10,chiyan_cave.png,洞底妖火不熄，火属妖物盘踞其中。,9,3,
4,wild,4,落霞坡,13,wild_luoxia_slope.png,晚霞映照着平缓山坡，丹砂岩间生长着火属灵草。,12,3,
5,wild,5,镜月湖,18,wild_mirror_moon_lake.png,湖面平静如镜，月华在水中凝聚成清冽灵气。,15,3,
6,wild,6,苍梧林,24,wild_cangwu_forest.png,苍梧古木遮蔽天光，林中树灵守护着珍稀药材。,18,3,
7,wild,7,流沙古道,30,wild_quicksand_road.png,黄沙掩埋了昔日商道，入夜后仍能听见虚幻驼铃。,21,3,
8,wild,8,寒松谷,36,wild_cold_pine_valley.png,积雪覆盖幽静山谷，寒松枝头凝结着细小冰晶。,24,3,
9,wild,9,星陨原,42,wild_starfall_plain.png,荒原散落着古老陨石，夜幕降临后会浮现微弱星辉。,27,3,
10,danger,0,葬剑渊,12,sword_abyss.png,上古剑宗覆灭后留下的裂谷，残剑与剑意终年不散。,30,3,
11,danger,1,万毒沼,16,poison_marsh.png,毒瘴笼罩的远古沼泽，孕育罕见毒草与剧毒妖物。,33,3,
12,danger,2,玄雷天坑,20,thunder_pit.png,天雷常年轰击形成的巨坑，坑底遍布雷晶与焦岩。,36,3,
13,danger,3,血月荒丘,24,danger_blood_moon_hills.png,赤月映照荒凉丘陵，地下枯骨滋生出浓重阴气。,39,3,
14,danger,4,幽魂古渡,30,danger_ghost_ferry.png,废弃渡口笼罩阴冷水雾，破旧冥舟仍在自行往返。,42,3,
15,danger,5,黑风石林,36,danger_black_wind_stone_forest.png,黑色石柱形成天然迷阵，狂风穿过石隙便化为风刃。,45,3,
16,danger,6,烬骨火泽,48,danger_ember_bone_marsh.png,灰烬覆盖灼热沼泽，泥水之下埋藏着焦黑兽骨。,48,3,
17,danger,7,天罡风眼,60,danger_heavenly_wind_eye.png,悬浮山石环绕巨大风眼，罡风足以撕裂护体灵气。,51,3,
18,danger,8,沉星海墟,72,danger_sunken_star_ruins.png,古代观星台沉入深海，残破星盘仍在吸收月华。,54,3,
19,danger,9,苍穹断岛,84,danger_broken_sky_islands.png,破碎岛屿漂浮于云海，雷云和空间裂隙封锁了退路。,57,3,
20,extreme,0,寂灭冰原,12,ice_wastes.png,天地灵气近乎冻结的北境冰原，玄霜古蛟守护着筑基丹。,60,1,alchemy_foundation_pill
21,extreme,1,归墟海眼,24,abyss_eye.png,天下水脉汇聚之处，吞海玄鲲守护着结金丹。,61,1,alchemy_golden_core_pill
22,extreme,2,黄泉古城,36,yellow_spring_city.png,遗落在阴阳交界的空城，无面冥君掌握着凝婴丹。,62,1,alchemy_nascent_soul_pill
23,extreme,3,天火神山,48,extreme_heavenfire_mountain.png,赤云终年压顶，焚岳炎君以天火淬炼化神丹。,63,1,alchemy_spirit_transformation_pill
24,extreme,4,无相魔域,60,extreme_formless_demon_realm.png,万物形貌皆被魔气抹去，无相天魔藏有太虚丹。,64,1,alchemy_void_pill
25,extreme,5,太虚裂谷,72,extreme_void_rift.png,大地被虚空撕裂，裂空古兽体内孕育着合道丹。,65,1,alchemy_union_pill
26,extreme,6,阴阳古战场,84,extreme_yinyang_battlefield.png,黑白二气分割战场，两仪战帝执掌着大乘丹。,66,1,alchemy_mahayana_pill
27,extreme,7,万法天墟,96,extreme_dharma_ruins.png,仙宫崩毁后漂浮于云海，万法道傀守护着渡劫丹。,67,1,alchemy_tribulation_pill
28,extreme,8,升仙之路,108,extreme_ascension_road.png,白玉天阶直入劫云。渡劫圆满即可挑战九重雷劫。,68,1,
