id,type,name,image,desc,price,slot,def,hp,req,skill,atk,effect,amount,resource,market_tier
wood_crown,equipment,青木法冠,equipment_wood_crown.png,木冠嵌玉，凝神护识。,32,head,2,12,1,,,,,,
cloud_robe,equipment,云纹道袍,equipment_cloud_robe.png,轻柔道袍，护持周身。,45,robe,3,18,1,,,,,,
wind_boots,equipment,逐风履,equipment_wind_boots.png,步履轻捷，久行不乏。,38,boots,2,15,1,,,,,,
qingfeng_manual,manual,青锋诀,manual_qingfeng.png,参悟剑意，永久提升功法层数。,60,,,,1,attack,,,,,
panshi_manual,manual,磐石功,manual_panshi.png,锤炼筋骨，永久提升功法层数。,60,,,,1,guard,,,,,
tuna_manual,manual,吐纳术,manual_tuna.png,调和吐纳，永久提升功法层数。,60,,,,1,mind,,,,,
mystic_iron_sword,equipment,玄铁长剑,equipment_mystic_iron_sword.png,玄铁锻成的沉稳长剑。,140,weapon,,,1,,12,,,,
cloud_crown,equipment,流云发冠,equipment_cloud_crown.png,流云玉冠，可凝神护体。,125,head,5,25,1,,,,,,
vine_robe,equipment,青藤法袍,equipment_vine_robe.png,青藤灵丝织成的护身法袍。,175,robe,8,45,1,,,,,,
cloudstep_boots,equipment,踏云履,equipment_cloudstep_boots.png,步履轻灵，长途历练不易疲惫。,135,boots,4,35,1,,,,,,
mountain_bracers,equipment,镇岳护腕,equipment_mountain_bracers.png,厚重护腕，攻守兼备。,155,bracers,7,,1,,3,,,,
moon_amulet,equipment,月华护符,equipment_moon_amulet.png,凝聚月华的随身护符。,165,amulet,,30,1,,5,,,,
spirit_jade_ring,equipment,聚灵玉戒,equipment_spirit_jade_ring.png,玉戒自行汇聚四周灵气。,170,ring,,20,1,,7,,,,
sword_control_manual,manual,御剑真诀,manual_sword_control.png,参悟御剑法门，提升青锋诀。,105,,,,1,attack,,,,,
vajra_body_manual,manual,金刚锻体篇,manual_vajra_body.png,以金刚法锤炼筋骨，提升磐石功。,105,,,,1,guard,,,,,
pure_breathing_manual,manual,太清吐纳篇,manual_pure_breathing.png,运转太清吐纳法，提升吐纳术。,105,,,,1,mind,,,,,
minor_restoration_pill,consumable,小还丹,pill_minor_restoration.png,服用后立即恢复五成气血。,48,,,,1,,,heal_half,,,
qi_boost_pill,consumable,益气丹,pill_qi_boost.png,服用后立即获得一百点修为经验。,72,,,,1,,,qi,100,,
insight_pill,consumable,悟心丹,pill_insight.png,获得当前层所需四分之一修为经验。,95,,,,1,,,xp_quarter,,,
longevity_powder,consumable,延年散,powder_longevity.png,使当前寿元进程延后一年。,120,,,,1,,,lifespan,,,
silkworm_thread,material,天蚕灵丝,material_silkworm_thread.png,炼制法袍与护具的高阶灵材。,85,,,,1,,,,1,silkworm_thread,
flame_copper,material,赤炎精铜,material_flame_copper.png,蕴含火意的精炼铜材。,90,,,,1,,,,1,flame_copper,
void_crystal,material,空冥晶石,material_void_crystal.png,可用于阵法与空间法器。,110,,,,1,,,,1,void_crystal,
thunderwood,material,千年雷击木,material_thunderwood.png,经历千年雷火淬炼的灵木。,125,,,,1,,,,1,thunderwood,
treasure_box,special,百宝匣,treasure_box.png,随机获得一件良品或珍品装备。,220,,,,1,,,equipment_box,,,
blank_jade_slip,special,无字玉简,blank_jade_slip.png,随机令一门功法提升一层。,260,,,,1,,,random_manual,,,
changchun_manual,manual,长春诀秘籍,manual_changchun.png,使用后习得长春诀，提高气血上限。,145,,,,1,spring,,,,,0
army_breaker_manual,manual,破军剑典秘籍,manual_army_breaker.png,使用后习得破军剑典，强化会心伤害。,165,,,,1,army_breaker,,,,,
flowing_cloud_manual,manual,流云身法秘籍,manual_flowing_cloud.png,使用后习得流云身法，提高攻速与闪避。,160,,,,1,flowing_cloud,,,,,
spirit_refining_manual,manual,太虚炼神诀秘籍,manual_spirit_refining.png,使用后习得太虚炼神诀，提高战斗修为收益。,180,,,,1,spirit_refining,,,,,
arts_insight_manual,manual,百艺真解秘籍,manual_arts_insight.png,使用后习得百艺真解，提高杂学经验。,175,,,,1,arts_insight,,,,,
fate_divination_manual,manual,天机衍算术秘籍,manual_fate_divination.png,使用后习得天机衍算术，提高灵石与稀有机缘。,195,,,,1,fate_divination,,,,,
longevity_manual,manual,长生养元经秘籍,manual_longevity.png,使用后习得长生养元经，延长寿元。,210,,,,1,longevity,,,,,
