id,name,desc,icon,req,max_level
attack,青锋诀,提高基础攻击，并逐层提高会心几率；会心率最高60%。,icon_attack_skill.png,1,99
guard,磐石功,每层降低0.6%所受伤害，最高降低55%。,icon_guard_skill.png,1,99
mind,吐纳术,每层提高10%闭关转化速度。,icon_mind_skill.png,1,99
spring,长春诀,每层提高0.8%气血上限。,manual_changchun.png,13,99
army_breaker,破军剑典,每层提高会心一击的伤害。,manual_army_breaker.png,13,99
flowing_cloud,流云身法,每层提高攻击速度与闪避几率。,manual_flowing_cloud.png,13,99
spirit_refining,太虚炼神诀,每层提高战斗获得的修为经验。,manual_spirit_refining.png,13,99
arts_insight,百艺真解,每层提高所有杂学获得的经验。,manual_arts_insight.png,13,99
fate_divination,天机衍算术,每层提高灵石收益与采集稀有机缘。,manual_fate_divination.png,13,99
longevity,长生养元经,每两层额外增加一年寿元。,manual_longevity.png,13,99
