id,json
INK,"""#262722"""
MUTED,"""#696d65"""
PAPER,"""#f1eadc"""
JADE,"""#5f8f82"""
JADE_DARK,"""#355f56"""
CINNABAR,"""#b64837"""
GOLD,"""#b38a42"""
LINE,"""#bdb29f"""
QUALITY_NAMES,"[""凡品"",""良品"",""上品"",""珍品"",""绝品""]"
QUALITY_PREFIXES,"[""朴素"",""青纹"",""碧华"",""紫霄"",""玄金""]"
QUALITY_COLORS,"[""#3f413d"",""#367d70"",""#3f6f9f"",""#76558f"",""#b17a27""]"
QUALITY_FRAME_BACKGROUNDS,"[""#f1ede3"",""#e7f0e9"",""#e6edf4"",""#eee7f2"",""#f4ead2""]"
PERMANENT_HP_CAP,600
PERMANENT_ATTACK_CAP,120
PERMANENT_DEFENSE_CAP,100
BGM_PATH,"""res://assets/audio/bgm_main.ogg"""
SETTINGS_PATH,"""user://settings.json"""
DISPLAY_RESOLUTIONS,"[[1280,720],[1440,900],[1600,900],[1920,1080]]"
STEAM_APP_ID,5070160
SAVE_SLOT_COUNT,5
STARTING_AGE,16
SECONDS_PER_YEAR,120.0
LIFESPAN_DRAIN_RATE,0.5
MASTERY_STAR_THRESHOLDS,"[0,10,30,70,140,230,330,440,560,700]"
MASTERY_MAX_ACTIONS,700
PROGRESSION_XP_MULTIPLIER,10
CULTIVATION_REALM_BASES,"[1000,6000,16000,36000,72000,130000,230000,400000,700000]"
CULTIVATION_LAYER_STEPS,"[300,700,1500,2800,5000,8500,14000,22000,35000]"
BREAKTHROUGH_PROGRESS_NEEDS,"[30000,65000,120000,200000,320000,500000,760000,1100000,0]"
MARKET_DISPLAY_COUNT,6
MARKET_TIER_NAMES,"[""初级坊市"",""中级坊市"",""高级坊市"",""超级坊市"",""顶级坊市""]"
MARKET_TIER_REALMS,"[0,2,4,6,8]"
MARKET_TIER_REFRESH_SECONDS,"[900.0,1200.0,1500.0,1800.0,2100.0]"
BAG_BASE_CAPACITY,400
BAG_MAX_CAPACITY,2000
BAG_EXPANSION_STEP,100
RESOURCE_STACK_LIMIT,999
STARTUP_RESOURCE_EXTENSIONS,"[""png"",""jpg"",""jpeg"",""webp"",""svg"",""ogg"",""wav"",""mp3"",""ttf"",""otf"",""tres"",""res""]"
APTITUDE_KEYS,"[""spirit_root"",""constitution"",""insight"",""fortune""]"
APTITUDE_CONFIG,"{""spirit_root"":{""name"":""灵根"",""effect"":""每级闭关转化速度 +5%""},""constitution"":{""name"":""根骨"",""effect"":""每级气血 +6%、防御 +4%、寿元 +6年""},""insight"":{""name"":""悟性"",""effect"":""每级战斗与杂学经验 +5%""},""fortune"":{""name"":""福缘"",""effect"":""每级灵石收益 +4%、稀有机缘提高""}}"
ACHIEVEMENT_NAMES,"{""ACH_FIRST_RETREAT"":""初窥仙门"",""ACH_QI_REFINING_12"":""炼气圆满"",""ACH_FOUNDATION"":""道基初成"",""ACH_GOLDEN_CORE"":""一粒金丹"",""ACH_NASCENT_SOUL"":""元婴出窍"",""ACH_SPIRIT_TRANSFORMATION"":""神意通明"",""ACH_VOID_REFINING"":""炼虚合道"",""ACH_BODY_INTEGRATION"":""天人合一"",""ACH_MAHAYANA"":""大乘之境"",""ACH_TRIBULATION_12"":""渡劫圆满"",""ACH_FIRST_KILL"":""初试锋芒"",""ACH_KILL_100"":""百战修士"",""ACH_KILL_1000"":""千敌辟易"",""ACH_ALL_WILD_ENEMIES"":""踏遍山河"",""ACH_ALL_DANGER_ENEMIES"":""险地无惧"",""ACH_FIRST_BOSS"":""初破绝境"",""ACH_THREE_BOSSES"":""三劫已过"",""ACH_ALL_MAJOR_BOSSES"":""八荒俯首"",""ACH_TRIBULATION_EMISSARY"":""雷劫之后"",""ACH_FISHING_FIVE"":""愿者上钩"",""ACH_HERBALISM_FIVE"":""百草皆识"",""ACH_MINING_FIVE"":""点石寻灵"",""ACH_BREWING_FIVE"":""酒中仙"",""ACH_FORGING_FIVE"":""百炼成器"",""ACH_ALCHEMY_FIVE"":""丹道有成"",""ACH_TALISMAN_FIVE"":""符通天地"",""ACH_FORMATION_FIVE"":""阵演乾坤"",""ACH_FULL_EQUIPMENT"":""法宝加身"",""ACH_HIGHEST_RARITY_ITEM"":""天赐奇珍"",""ACH_MARKET_COLLECTOR"":""坊市常客"",""ACH_ELDERS_GUIDANCE"":""老人之言"",""ACH_FIRST_REINCARNATION"":""再世为人"",""ACH_KARMA_APTITUDES"":""因果不空""}"
ACHIEVEMENT_STAT_DEFAULTS,"{""STAT_CULTIVATION_STAGE"":0,""STAT_TOTAL_KILLS"":0,""STAT_UNIQUE_WILD_ENEMIES"":0,""STAT_UNIQUE_DANGER_ENEMIES"":0,""STAT_UNIQUE_BOSSES"":0,""STAT_MAJOR_BOSSES_DEFEATED"":0,""STAT_UNIQUE_FISHING"":0,""STAT_UNIQUE_HERBALISM"":0,""STAT_UNIQUE_MINING"":0,""STAT_UNIQUE_BREWING"":0,""STAT_UNIQUE_FORGING"":0,""STAT_UNIQUE_ALCHEMY"":0,""STAT_UNIQUE_TALISMAN"":0,""STAT_UNIQUE_FORMATION"":0,""STAT_UNIQUE_MARKET_PURCHASES"":0,""STAT_REINCARNATION_COUNT"":0}"
ACHIEVEMENT_REQUIREMENTS,"{""ACH_FIRST_RETREAT"":[""完成首次闭关修行"",""SPECIAL_RETREAT"",1],""ACH_QI_REFINING_12"":[""修炼至炼气十二层"",""STAT_CULTIVATION_STAGE"",12],""ACH_FOUNDATION"":[""成功筑基"",""STAT_CULTIVATION_STAGE"",13],""ACH_GOLDEN_CORE"":[""修炼至金丹境"",""STAT_CULTIVATION_STAGE"",25],""ACH_NASCENT_SOUL"":[""修炼至元婴境"",""STAT_CULTIVATION_STAGE"",37],""ACH_SPIRIT_TRANSFORMATION"":[""修炼至化神境"",""STAT_CULTIVATION_STAGE"",49],""ACH_VOID_REFINING"":[""修炼至炼虚境"",""STAT_CULTIVATION_STAGE"",61],""ACH_BODY_INTEGRATION"":[""修炼至合体境"",""STAT_CULTIVATION_STAGE"",73],""ACH_MAHAYANA"":[""修炼至大乘境"",""STAT_CULTIVATION_STAGE"",85],""ACH_TRIBULATION_12"":[""修炼至渡劫十二层"",""STAT_CULTIVATION_STAGE"",108],""ACH_FIRST_KILL"":[""击败首名敌人"",""STAT_TOTAL_KILLS"",1],""ACH_KILL_100"":[""累计击败100名敌人"",""STAT_TOTAL_KILLS"",100],""ACH_KILL_1000"":[""累计击败1000名敌人"",""STAT_TOTAL_KILLS"",1000],""ACH_ALL_WILD_ENEMIES"":[""收录30种野外敌人"",""STAT_UNIQUE_WILD_ENEMIES"",30],""ACH_ALL_DANGER_ENEMIES"":[""收录30种险地敌人"",""STAT_UNIQUE_DANGER_ENEMIES"",30],""ACH_FIRST_BOSS"":[""击败首个绝境首领"",""STAT_UNIQUE_BOSSES"",1],""ACH_THREE_BOSSES"":[""击败3个不同绝境首领"",""STAT_UNIQUE_BOSSES"",3],""ACH_ALL_MAJOR_BOSSES"":[""击败八荒全部8位大敌"",""STAT_MAJOR_BOSSES_DEFEATED"",8],""ACH_TRIBULATION_EMISSARY"":[""击败雷劫使者"",""SPECIAL_EMISSARY"",1],""ACH_FISHING_FIVE"":[""完成5种垂钓项目"",""STAT_UNIQUE_FISHING"",5],""ACH_HERBALISM_FIVE"":[""完成5种采药项目"",""STAT_UNIQUE_HERBALISM"",5],""ACH_MINING_FIVE"":[""完成5种采矿项目"",""STAT_UNIQUE_MINING"",5],""ACH_BREWING_FIVE"":[""完成5种酿造项目"",""STAT_UNIQUE_BREWING"",5],""ACH_FORGING_FIVE"":[""完成5种炼器项目"",""STAT_UNIQUE_FORGING"",5],""ACH_ALCHEMY_FIVE"":[""完成5种炼丹项目"",""STAT_UNIQUE_ALCHEMY"",5],""ACH_TALISMAN_FIVE"":[""完成5种符箓项目"",""STAT_UNIQUE_TALISMAN"",5],""ACH_FORMATION_FIVE"":[""完成5种阵法项目"",""STAT_UNIQUE_FORMATION"",5],""ACH_FULL_EQUIPMENT"":[""装备全部八个部位"",""SPECIAL_EQUIPMENT"",8],""ACH_HIGHEST_RARITY_ITEM"":[""获得一件绝品物品"",""SPECIAL_RARITY"",1],""ACH_MARKET_COLLECTOR"":[""购买10种不同坊市商品"",""STAT_UNIQUE_MARKET_PURCHASES"",10],""ACH_ELDERS_GUIDANCE"":[""完成全部主线任务"",""SPECIAL_QUEST"",1],""ACH_FIRST_REINCARNATION"":[""完成首次轮回"",""STAT_REINCARNATION_COUNT"",1],""ACH_KARMA_APTITUDES"":[""四项因果资质均提升至少1次"",""SPECIAL_APTITUDES"",4]}"
ACHIEVEMENT_COLLECTION_KEYS,"[""wild_enemies"",""danger_enemies"",""bosses"",""major_bosses"",""fishing"",""herbalism"",""mining"",""brewing"",""forging"",""alchemy"",""talismans"",""formations"",""market_goods""]"
MAJOR_BOSS_NAMES,"[""玄霜古蛟"",""吞海玄鲲"",""无面冥君"",""焚岳炎君"",""无相天魔"",""裂空古兽"",""两仪战帝"",""万法道傀""]"
SECTION_TABS,"{""cultivation"":[[""cultivate"",""闭关""],[""skills"",""功法""],[""breakthrough"",""破境""]],""adventure"":[[""quests"",""任务""],[""battle"",""野外""],[""danger"",""险地""],[""extreme"",""绝境""]],""craft"":[[""fishing"",""垂钓""],[""herbalism"",""采药""],[""mining"",""采矿""],[""brewing"",""酿造""],[""forging"",""炼器""],[""alchemy"",""炼丹""],[""talismans"",""符箓""],[""formations"",""阵法""]],""treasure"":[[""inventory"",""行囊""],[""market"",""坊市""]],""sect"":[[""sect_affairs"",""宗门事务""],[""sect_vault"",""宗门宝库""],[""sect_arena"",""宗门擂台""]]}"
SECTION_DEFAULTS,"{""cultivation"":""cultivate"",""adventure"":""battle"",""craft"":""fishing"",""treasure"":""inventory"",""sect"":""sect_affairs""}"
SECT_CONFIG,"{""righteous"":{""name"":""太清宗"",""path"":""正道"",""color"":""#356c63"",""desc"":""持正守一，以清静道法护持自身。宗门功法偏向闭关与防御。"",""manual"":""太清真诀""},""demonic"":{""name"":""幽冥教"",""path"":""魔道"",""color"":""#8f3e36"",""desc"":""以战养道，借血煞磨砺锋芒。宗门功法偏向攻击与爆发。"",""manual"":""血煞魔典""}}"
SECT_TASKS,"{""righteous"":[{""id"":""righteous_patrol"",""name"":""巡守山门"",""desc"":""击退20名历练途中遇到的敌人。"",""kind"":""kills"",""target"":20.0,""reward"":80},{""id"":""righteous_retreat"",""name"":""静室护法"",""desc"":""累计闭关修行300秒。"",""kind"":""cultivate"",""target"":300.0,""reward"":70},{""id"":""righteous_craft"",""name"":""整理百艺"",""desc"":""完成12次采集或制造。"",""kind"":""craft"",""target"":12.0,""reward"":90}],""demonic"":[{""id"":""demonic_hunt"",""name"":""血煞猎令"",""desc"":""击败30名历练途中遇到的敌人。"",""kind"":""kills"",""target"":30.0,""reward"":110},{""id"":""demonic_retreat"",""name"":""炼煞入体"",""desc"":""累计闭关修行240秒。"",""kind"":""cultivate"",""target"":240.0,""reward"":85},{""id"":""demonic_craft"",""name"":""搜罗灵材"",""desc"":""完成15次采集或制造。"",""kind"":""craft"",""target"":15.0,""reward"":115}]}"
SECT_VAULT_GOODS,"{""righteous"":[{""id"":""taicang_robe"",""type"":""equipment"",""name"":""太清云纹袍"",""desc"":""太清宗内门制式法袍，清气环身。"",""cost"":360,""req"":13,""slot"":""robe"",""atk"":4,""def"":15,""hp"":90,""quality"":2,""image"":""res://assets/sects/taicang_cloud_robe.png""},{""id"":""taicang_manual"",""type"":""manual"",""name"":""太清真诀"",""desc"":""每次兑换提升1层。每层使闭关转化速度与防御提高1%，最高99层；加入太清宗时生效。"",""cost"":520,""req"":13,""image"":""res://assets/sects/taicang_manual.png""},{""id"":""taicang_pill"",""type"":""pill"",""name"":""清虚丹"",""desc"":""服用后获得3000点修为经验，恢复全部气血，并永久增加1点防御。永久防御加成上限为100点。"",""cost"":140,""req"":13,""resource"":""sect_righteous_pill"",""image"":""res://assets/sects/qingxu_pill.png""}],""demonic"":[{""id"":""youming_blade"",""type"":""equipment"",""name"":""幽冥血煞刃"",""desc"":""幽冥教弟子以血煞淬炼的凶刃。"",""cost"":360,""req"":13,""slot"":""weapon"",""atk"":25,""def"":0,""hp"":20,""quality"":2,""image"":""res://assets/sects/youming_blood_blade.png""},{""id"":""youming_manual"",""type"":""manual"",""name"":""血煞魔典"",""desc"":""每次兑换提升1层。每层使攻击提高1.5%，最高99层；加入幽冥教时生效。"",""cost"":520,""req"":13,""image"":""res://assets/sects/youming_manual.png""},{""id"":""youming_pill"",""type"":""pill"",""name"":""燃血丹"",""desc"":""服用后获得3000点修为经验，并永久增加1点攻击。永久攻击加成上限为120点。"",""cost"":140,""req"":13,""resource"":""sect_demonic_pill"",""image"":""res://assets/sects/bloodburn_pill.png""}]}"
SECT_ARENA_OPPONENTS,"{""righteous"":[{""id"":""taicang_outer"",""name"":""外门师兄·陆青"",""req"":13,""power"":150.0,""reward"":70,""image"":""res://assets/sects/arena_taicang_outer.png""},{""id"":""taicang_inner"",""name"":""内门执剑·苏澄"",""req"":25,""power"":430.0,""reward"":180,""image"":""res://assets/sects/arena_taicang_inner.png""},{""id"":""taicang_true"",""name"":""真传弟子·顾玄"",""req"":49,""power"":1450.0,""reward"":480,""image"":""res://assets/sects/arena_taicang_true.png""},{""id"":""taicang_elder"",""name"":""护法长老·清衡"",""req"":73,""power"":3900.0,""reward"":1200,""image"":""res://assets/sects/arena_taicang_elder.png""},{""id"":""taicang_master"",""name"":""太清掌教·玄微"",""req"":97,""power"":9200.0,""reward"":3000,""image"":""res://assets/sects/arena_taicang_master.png""}],""demonic"":[{""id"":""youming_outer"",""name"":""外坛弟子·赤枭"",""req"":13,""power"":165.0,""reward"":80,""image"":""res://assets/sects/arena_youming_outer.png""},{""id"":""youming_inner"",""name"":""内坛使者·鬼鸦"",""req"":25,""power"":470.0,""reward"":200,""image"":""res://assets/sects/arena_youming_inner.png""},{""id"":""youming_true"",""name"":""血衣圣子·罗刹"",""req"":49,""power"":1550.0,""reward"":520,""image"":""res://assets/sects/arena_youming_true.png""},{""id"":""youming_elder"",""name"":""幽冥长老·无魄"",""req"":73,""power"":4150.0,""reward"":1300,""image"":""res://assets/sects/arena_youming_elder.png""},{""id"":""youming_master"",""name"":""幽冥教主·夜皇"",""req"":97,""power"":9800.0,""reward"":3200,""image"":""res://assets/sects/arena_youming_master.png""}]}"
SECT_ARENA_WINDOW_SECONDS,300.0
SECT_ARENA_CYCLE_SECONDS,900.0
